Instance;Time;Solution
1;0.005;[[8, 8], [3, 3, 6, 6], [3, 5, 6, 1], [5, 3, 1, 6], [5, 5, 1, 1]]
2;0.005;[[9, 9], [3, 3, 4, 7], [3, 4, 7, 6], [3, 5, 7, 1], [3, 6, 4, 1], [3, 9, 1, 1]]
3;0.006;[[10, 10], [3, 3, 5, 8], [3, 4, 8, 7], [3, 6, 8, 1], [3, 7, 5, 1], [4, 4, 1, 7], [4, 6, 1, 1]]
4;0.007;[[11, 11], [3, 3, 6, 9], [3, 4, 6, 5], [3, 5, 9, 7], [3, 6, 9, 1], [5, 3, 1, 9], [5, 4, 1, 5], [8, 4, 1, 1]]
5;0.011;[[12, 12], [3, 3, 4, 7], [3, 4, 7, 9], [3, 5, 10, 8], [3, 6, 4, 1], [3, 7, 10, 1], [3, 8, 7, 1], [3, 9, 1, 1], [6, 3, 1, 10]]
6;0.019;[[13, 13], [3, 3, 5, 11], [3, 4, 5, 7], [3, 5, 8, 9], [3, 6, 11, 8], [3, 7, 11, 1], [3, 8, 8, 1], [4, 3, 1, 11], [4, 4, 1, 7], [7, 6, 1, 1]]
7;0.013;[[14, 14], [3, 3, 12, 12], [3, 4, 12, 8], [3, 5, 6, 10], [3, 6, 9, 9], [3, 7, 12, 1], [3, 8, 9, 1], [3, 9, 6, 1], [5, 4, 1, 11], [5, 10, 1, 1]]
8;0.014;[[15, 15], [3, 3, 4, 13], [3, 4, 10, 9], [3, 5, 13, 8], [3, 6, 7, 10], [3, 7, 13, 1], [3, 8, 10, 1], [3, 9, 7, 1], [3, 12, 4, 1], [3, 15, 1, 1], [6, 3, 10, 13]]
9;0.018;[[16, 16], [3, 3, 14, 14], [3, 4, 8, 13], [3, 5, 14, 9], [3, 6, 11, 11], [3, 7, 5, 10], [3, 8, 14, 1], [3, 10, 11, 1], [3, 12, 8, 1], [4, 7, 1, 10], [7, 9, 1, 1]]
10;0.053;[[17, 17], [3, 3, 15, 15], [3, 4, 4, 1], [3, 5, 15, 10], [3, 6, 4, 12], [3, 7, 4, 5], [3, 8, 1, 1], [3, 9, 1, 9], [4, 3, 7, 15], [4, 8, 11, 10], [4, 14, 7, 1], [7, 3, 11, 1], [7, 6, 11, 4]]
