Instance;Time;Solution
1;0.0010013580322265625;[[8, 8], [3, 3, 1, 6], [3, 5, 6, 1], [5, 3, 4, 6], [5, 5, 1, 1]]
2;0.00103;[[9, 9], [3, 3, 7, 7], [3, 4, 1, 1], [3, 5, 1, 5], [3, 6, 7, 1], [3, 9, 4, 1]]
3;0.000921;[[10, 10], [3, 3, 8, 8], [3, 4, 5, 7], [3, 6, 1, 1], [3, 7, 8, 1], [4, 4, 1, 7], [4, 6, 4, 1]]
4;0.029924392700195312;[[11, 12], [3, 3, 4, 10], [3, 4, 4, 6], [3, 5, 9, 1], [3, 6, 1, 7], [5, 3, 7, 6], [5, 4, 7, 9], [8, 4, 1, 1]]
5;0.07904434204101562;[[12, 13], [3, 3, 10, 10], [3, 4, 4, 10], [3, 5, 1, 1], [3, 6, 10, 4], [3, 7, 1, 6], [3, 8, 7, 5], [3, 9, 4, 1], [6, 3, 7, 1]]
6;0.13308334350585938;[[13, 13], [3, 3, 11, 11], [3, 4, 11, 7], [3, 5, 8, 9], [3, 6, 11, 1], [3, 7, 1, 7], [3, 8, 8, 1], [4, 3, 4, 11], [4, 4, 4, 7], [7, 6, 1, 1]]
7;0.07651901245117188;[[14, 14], [3, 3, 12, 12], [3, 4, 12, 1], [3, 5, 9, 10], [3, 6, 1, 9], [3, 7, 12, 5], [3, 8, 1, 1], [3, 9, 9, 1], [5, 4, 4, 11], [5, 10, 4, 1]]
8;0.016727447509765625;[[15, 15], [3, 3, 13, 13], [3, 4, 13, 1], [3, 5, 10, 4], [3, 6, 1, 1], [3, 7, 10, 9], [3, 8, 13, 5], [3, 9, 1, 7], [3, 12, 7, 4], [3, 15, 4, 1], [6, 3, 7, 1]]
9;0.06918525695800781;[[16, 16], [3, 3, 14, 14], [3, 4, 1, 13], [3, 5, 14, 1], [3, 6, 11, 1], [3, 7, 4, 10], [3, 8, 14, 6], [3, 10, 11, 7], [3, 12, 1, 1], [4, 7, 7, 10], [7, 9, 4, 1]]
10;0.13265037536621094;[[17, 17], [3, 3, 15, 9], [3, 4, 8, 1], [3, 5, 15, 4], [3, 6, 8, 12], [3, 7, 8, 5], [3, 8, 1, 1], [3, 9, 1, 9], [4, 3, 4, 15], [4, 8, 11, 4], [4, 14, 4, 1], [7, 3, 11, 1], [7, 6, 11, 12]]
11;1.2630958557128906;[[18, 18], [3, 3, 11, 16], [3, 4, 11, 12], [3, 5, 4, 14], [3, 6, 4, 1], [3, 7, 4, 7], [3, 8, 1, 11], [3, 10, 1, 1], [3, 11, 7, 1], [4, 3, 7, 12], [4, 4, 7, 15], [4, 5, 15, 7], [4, 6, 10, 1], [5, 3, 14, 16], [5, 4, 14, 12], [5, 5, 10, 7], [5, 6, 14, 1]]
12;1.0507488250732422;[[19, 19], [3, 3, 17, 12], [3, 4, 17, 8], [3, 5, 13, 15], [3, 6, 7, 1], [3, 7, 17, 1], [3, 8, 10, 1], [3, 9, 4, 1], [3, 10, 4, 10], [3, 11, 10, 9], [3, 13, 7, 7], [3, 19, 1, 1], [4, 5, 16, 15], [4, 6, 13, 9], [4, 8, 13, 1]]
13;0.8783702850341797;[[20, 20], [3, 3, 18, 18], [3, 4, 12, 17], [3, 5, 15, 16], [3, 6, 12, 1], [3, 7, 15, 1], [3, 8, 15, 8], [3, 9, 5, 1], [3, 10, 12, 7], [3, 11, 5, 10], [3, 17, 18, 1], [4, 3, 1, 18], [4, 9, 8, 12], [4, 11, 8, 1], [4, 17, 1, 1]]
14;1.0955047607421875;[[21, 21], [3, 3, 19, 19], [3, 4, 12, 9], [3, 5, 9, 11], [3, 6, 4, 16], [3, 7, 1, 15], [3, 8, 12, 1], [3, 9, 12, 13], [3, 10, 9, 1], [3, 14, 1, 1], [3, 18, 19, 1], [4, 4, 15, 18], [4, 6, 15, 1], [4, 11, 15, 7], [5, 6, 7, 16], [5, 15, 4, 1]]
15;1.9847908020019531;[[22, 22], [3, 3, 20, 20], [3, 4, 14, 7], [3, 5, 20, 1], [3, 6, 14, 1], [3, 7, 11, 1], [3, 8, 14, 11], [3, 9, 17, 1], [3, 10, 1, 1], [3, 11, 11, 8], [3, 12, 1, 11], [3, 13, 17, 10], [3, 14, 20, 6], [3, 22, 4, 1], [4, 3, 7, 20], [4, 19, 7, 1], [6, 4, 11, 19]]
16;60.478952407836914;[[23, 23], [3, 3, 21, 21], [3, 4, 18, 6], [3, 5, 18, 1], [3, 6, 1, 8], [3, 7, 1, 1], [3, 8, 21, 1], [3, 9, 8, 1], [3, 10, 1, 14], [3, 11, 8, 10], [3, 12, 21, 9], [3, 14, 18, 10], [3, 20, 11, 1], [4, 3, 8, 21], [4, 4, 14, 17], [4, 6, 14, 1], [4, 10, 14, 7], [4, 11, 4, 13], [4, 12, 4, 1], [6, 3, 12, 21]]
