Instance;Time;Solution
1;0.0010013580322265625;[[8, 8], [3, 3, 6, 1], [3, 5, 6, 4], [5, 3, 1, 6], [5, 5, 1, 1]]
2;0.0003;[[9, 9], [3, 3, 7, 1], [3, 4, 1, 1], [3, 5, 1, 5], [3, 6, 7, 4], [3, 9, 4, 1]]
3;0.0030002593994140625;[[10, 10], [3, 3, 1, 8], [3, 4, 4, 7], [3, 6, 8, 1], [3, 7, 1, 1], [4, 4, 7, 7], [4, 6, 4, 1]]
4;0.0040035247802734375;[[11, 11], [3, 3, 6, 5], [3, 4, 6, 8], [3, 5, 9, 7], [3, 6, 9, 1], [5, 3, 1, 5], [5, 4, 1, 8], [8, 4, 1, 1]]
5;0.024921417236328125;[[12, 12], [3, 3, 7, 7], [3, 4, 10, 1], [3, 5, 1, 8], [3, 6, 7, 1], [3, 7, 1, 1], [3, 8, 10, 5], [3, 9, 4, 1], [6, 3, 4, 10]]
6;0.022153854370117188;[[13, 13], [3, 3, 5, 11], [3, 4, 5, 7], [3, 5, 8, 9], [3, 6, 11, 1], [3, 7, 11, 7], [3, 8, 8, 1], [4, 3, 1, 7], [4, 4, 1, 10], [7, 6, 1, 1]]
7;0.06078338623046875;[[14, 14], [3, 3, 6, 1], [3, 4, 6, 11], [3, 5, 12, 1], [3, 6, 9, 9], [3, 7, 6, 4], [3, 8, 9, 1], [3, 9, 12, 6], [5, 4, 1, 11], [5, 10, 1, 1]]
8;0.03351593017578125;[[15, 15], [3, 3, 10, 1], [3, 4, 4, 12], [3, 5, 10, 11], [3, 6, 13, 10], [3, 7, 10, 4], [3, 8, 4, 4], [3, 9, 13, 1], [3, 12, 1, 4], [3, 15, 7, 1], [6, 3, 1, 1]]
9;0.023378372192382812;[[16, 16], [3, 3, 11, 1], [3, 4, 1, 1], [3, 5, 11, 12], [3, 6, 14, 1], [3, 7, 8, 10], [3, 8, 11, 4], [3, 10, 14, 7], [3, 12, 1, 5], [4, 7, 4, 10], [7, 9, 4, 1]]
10;0.023908615112304688;[[17, 17], [3, 3, 8, 15], [3, 4, 1, 1], [3, 5, 4, 1], [3, 6, 1, 5], [3, 7, 1, 11], [3, 8, 11, 10], [3, 9, 4, 6], [4, 3, 4, 15], [4, 8, 14, 10], [4, 14, 7, 1], [7, 3, 11, 7], [7, 6, 11, 1]]
11;1.112081527709961;[[18, 18], [3, 3, 4, 16], [3, 4, 4, 12], [3, 5, 1, 1], [3, 6, 1, 13], [3, 7, 1, 6], [3, 8, 7, 11], [3, 10, 7, 1], [3, 11, 4, 1], [4, 3, 15, 7], [4, 4, 15, 10], [4, 5, 15, 14], [4, 6, 15, 1], [5, 3, 10, 7], [5, 4, 10, 10], [5, 5, 10, 14], [5, 6, 10, 1]]
12;0.2624664306640625;[[19, 19], [3, 3, 1, 1], [3, 4, 14, 1], [3, 5, 1, 4], [3, 6, 17, 1], [3, 7, 14, 5], [3, 8, 10, 12], [3, 9, 7, 1], [3, 10, 7, 10], [3, 11, 1, 9], [3, 13, 17, 7], [3, 19, 4, 1], [4, 5, 10, 7], [4, 6, 10, 1], [4, 8, 13, 12]]
13;0.3368721008300781;[[20, 20], [3, 3, 15, 1], [3, 4, 12, 17], [3, 5, 1, 9], [3, 6, 12, 1], [3, 7, 1, 14], [3, 8, 1, 1], [3, 9, 18, 12], [3, 10, 12, 7], [3, 11, 18, 1], [3, 17, 15, 4], [4, 3, 8, 18], [4, 9, 4, 12], [4, 11, 4, 1], [4, 17, 8, 1]]
14;0.37262916564941406;[[21, 21], [3, 3, 6, 1], [3, 4, 13, 10], [3, 5, 19, 17], [3, 6, 19, 1], [3, 7, 16, 1], [3, 8, 13, 14], [3, 9, 13, 1], [3, 10, 19, 7], [3, 14, 16, 8], [3, 18, 6, 4], [4, 4, 9, 18], [4, 6, 9, 12], [4, 11, 9, 1], [5, 6, 1, 16], [5, 15, 1, 1]]
15;0.34344482421875;[[22, 22], [3, 3, 17, 6], [3, 4, 7, 8], [3, 5, 17, 1], [3, 6, 1, 5], [3, 7, 7, 1], [3, 8, 4, 5], [3, 9, 14, 1], [3, 10, 4, 13], [3, 11, 7, 12], [3, 12, 1, 11], [3, 13, 14, 10], [3, 14, 17, 9], [3, 22, 20, 1], [4, 3, 10, 20], [4, 19, 10, 1], [6, 4, 1, 1]]
16;2.9819889068603516;[[23, 23], [3, 3, 14, 11], [3, 4, 1, 1], [3, 5, 1, 19], [3, 6, 21, 1], [3, 7, 14, 14], [3, 8, 21, 7], [3, 9, 21, 15], [3, 10, 14, 1], [3, 11, 4, 13], [3, 12, 4, 1], [3, 14, 1, 5], [3, 20, 11, 1], [4, 3, 7, 7], [4, 4, 7, 10], [4, 6, 7, 1], [4, 10, 7, 14], [4, 11, 17, 1], [4, 12, 17, 12], [6, 3, 11, 21]]
17;1.1890640258789062;[[24, 24], [3, 3, 1, 1], [3, 4, 22, 21], [3, 5, 16, 20], [3, 6, 13, 19], [3, 7, 1, 4], [3, 8, 22, 1], [3, 9, 16, 11], [3, 10, 16, 1], [3, 12, 22, 9], [3, 14, 1, 11], [3, 18, 13, 1], [3, 24, 19, 1], [4, 3, 4, 17], [4, 4, 4, 13], [4, 5, 4, 20], [4, 12, 4, 1], [5, 8, 8, 17], [5, 16, 8, 1]]
18;1.7228679656982422;[[25, 25], [3, 3, 20, 9], [3, 4, 13, 12], [3, 5, 7, 4], [3, 6, 23, 1], [3, 7, 1, 1], [3, 8, 20, 1], [3, 9, 4, 17], [3, 10, 13, 16], [3, 11, 13, 1], [3, 13, 4, 4], [3, 14, 20, 12], [3, 17, 7, 9], [3, 18, 1, 8], [3, 19, 23, 7], [3, 25, 10, 1], [4, 5, 16, 14], [4, 7, 16, 19], [4, 13, 16, 1], [6, 3, 4, 1]]
19;95.16926193237305;[[26, 26], [3, 3, 7, 20], [3, 4, 7, 23], [3, 5, 1, 8], [3, 6, 14, 13], [3, 7, 1, 1], [3, 8, 14, 19], [3, 9, 4, 18], [3, 10, 17, 17], [3, 11, 20, 1], [3, 12, 14, 1], [3, 14, 1, 13], [3, 15, 20, 12], [3, 16, 17, 1], [3, 17, 4, 1], [3, 19, 7, 1], [4, 3, 23, 1], [4, 4, 10, 23], [4, 5, 23, 11], [4, 7, 23, 4], [4, 8, 10, 1], [4, 11, 23, 16], [4, 14, 10, 9]]
20;8.942192077636719;[[27, 27], [3, 3, 25, 5], [3, 4, 25, 1], [3, 5, 22, 1], [3, 6, 12, 22], [3, 7, 5, 1], [3, 8, 15, 1], [3, 9, 9, 19], [3, 10, 22, 18], [3, 11, 9, 8], [3, 12, 22, 6], [3, 19, 19, 9], [3, 20, 25, 8], [3, 21, 12, 1], [4, 3, 8, 5], [4, 4, 8, 1], [4, 6, 5, 8], [4, 7, 1, 21], [4, 8, 18, 1], [4, 14, 5, 14], [4, 19, 15, 9], [4, 20, 1, 1]]
21;300.0420455932617;[[28, 29], [3, 3, 7, 17], [3, 4, 4, 1], [3, 5, 26, 1], [3, 6, 17, 7], [3, 7, 1, 1], [3, 8, 17, 13], [3, 9, 22, 20], [3, 10, 7, 20], [3, 11, 10, 18], [3, 16, 7, 1], [3, 17, 10, 1], [3, 21, 1, 9], [3, 23, 4, 5], [4, 3, 25, 19], [4, 4, 22, 1], [4, 5, 13, 24], [4, 8, 25, 22], [4, 13, 20, 7], [4, 23, 13, 1], [5, 6, 17, 1], [5, 9, 17, 21], [5, 13, 24, 6]]
22;4.846767425537109;[[29, 29], [3, 3, 16, 1], [3, 4, 1, 26], [3, 5, 16, 4], [3, 6, 20, 24], [3, 7, 16, 9], [3, 8, 20, 16], [3, 9, 23, 1], [3, 10, 6, 1], [3, 11, 9, 1], [3, 15, 6, 11], [3, 18, 9, 12], [3, 20, 23, 10], [4, 3, 26, 21], [4, 4, 12, 1], [4, 5, 16, 16], [4, 6, 26, 24], [4, 7, 12, 23], [4, 9, 16, 21], [4, 15, 19, 1], [4, 18, 12, 5], [4, 20, 26, 1], [5, 4, 4, 26], [5, 8, 1, 18], [5, 17, 1, 1]]
23;9.897308349609375;[[30, 30], [3, 3, 28, 28], [3, 4, 12, 17], [3, 5, 19, 26], [3, 6, 28, 8], [3, 7, 28, 1], [3, 8, 25, 23], [3, 9, 25, 14], [3, 10, 12, 21], [3, 11, 22, 1], [3, 13, 25, 1], [3, 14, 28, 14], [3, 16, 12, 1], [3, 19, 22, 12], [3, 25, 19, 1], [4, 3, 15, 5], [4, 4, 15, 1], [4, 6, 15, 8], [4, 8, 15, 14], [4, 9, 15, 22], [11, 30, 1, 1]]
24;1.2709407806396484;[[31, 31], [3, 3, 19, 15], [3, 4, 19, 18], [3, 5, 29, 1], [3, 6, 29, 14], [3, 7, 22, 12], [3, 8, 29, 6], [3, 9, 16, 1], [3, 10, 19, 22], [3, 11, 22, 1], [3, 12, 29, 20], [3, 13, 22, 19], [3, 14, 19, 1], [3, 22, 16, 10], [3, 31, 13, 1], [4, 3, 25, 8], [4, 7, 25, 1], [4, 8, 25, 11], [4, 13, 25, 19], [12, 31, 1, 1]]
25;300.04104232788086;[[32, 33], [3, 3, 1, 25], [3, 4, 13, 7], [3, 5, 10, 28], [3, 6, 13, 1], [3, 7, 16, 27], [3, 8, 19, 26], [3, 9, 7, 25], [3, 10, 26, 19], [3, 11, 16, 16], [3, 12, 30, 22], [3, 13, 4, 1], [3, 14, 4, 14], [3, 15, 16, 1], [3, 18, 26, 1], [3, 22, 7, 1], [3, 23, 13, 11], [3, 24, 1, 1], [3, 25, 19, 1], [3, 27, 10, 1], [4, 3, 29, 1], [4, 4, 26, 29], [4, 5, 22, 29], [4, 6, 3, 28], [4, 7, 29, 15], [4, 10, 22, 1], [4, 11, 29, 4], [4, 18, 22, 11]]
