Instance;Time;Solution
1;0.0;[[8, 8], [3, 3, 1, 6], [3, 5, 6, 1], [5, 3, 4, 6], [5, 5, 1, 1]]
2;0.0;[[9, 9], [3, 3, 7, 1], [3, 4, 4, 6], [3, 5, 4, 1], [3, 6, 7, 4], [3, 9, 1, 1]]
3;0.00099945068359375;[[10, 10], [3, 3, 1, 1], [3, 4, 4, 7], [3, 6, 8, 1], [3, 7, 1, 4], [4, 4, 7, 7], [4, 6, 4, 1]]
4;0.011289596557617188;[[11, 11], [3, 3, 9, 4], [3, 4, 6, 8], [3, 5, 9, 7], [6, 3, 6, 1], [5, 3, 1, 1], [5, 4, 1, 8], [8, 4, 1, 4]]
5;0.007997512817382812;[[12, 12], [3, 3, 4, 10], [3, 4, 7, 1], [3, 5, 1, 8], [3, 6, 10, 7], [3, 7, 1, 1], [3, 8, 7, 5], [3, 9, 4, 1], [3, 6, 10, 1]]
6;0.10335350036621094;[[13, 13], [3, 3, 1, 11], [4, 3, 10, 11], [5, 3, 1, 1], [6, 3, 4, 11], [3, 7, 11, 4], [8, 3, 6, 1], [4, 3, 7, 4], [4, 4, 7, 7], [6, 7, 1, 4]]
7;0.03358268737792969;[[14, 14], [3, 3, 9, 4], [3, 4, 12, 4], [3, 5, 6, 1], [6, 3, 9, 1], [3, 7, 12, 8], [3, 8, 9, 7], [3, 9, 6, 6], [5, 4, 1, 11], [5, 10, 1, 1]]
8;0.06733131408691406;[[15, 15], [3, 3, 10, 1], [3, 4, 4, 1], [3, 5, 4, 11], [3, 6, 1, 1], [3, 7, 13, 1], [3, 8, 13, 8], [3, 9, 1, 7], [3, 12, 10, 4], [3, 15, 7, 1], [3, 6, 4, 5]]
9;0.050945281982421875;[[16, 16], [3, 3, 1, 11], [3, 4, 14, 13], [5, 3, 9, 14], [6, 3, 1, 8], [7, 3, 7, 8], [8, 3, 1, 14], [10, 3, 4, 11], [3, 12, 14, 1], [4, 7, 1, 1], [9, 7, 5, 1]]
10;0.10730552673339844;[[17, 17], [3, 3, 1, 15], [3, 4, 11, 7], [3, 5, 1, 1], [3, 6, 15, 1], [7, 3, 4, 15], [3, 8, 8, 7], [3, 9, 1, 6], [4, 3, 14, 15], [4, 8, 14, 7], [4, 14, 4, 1], [3, 7, 11, 11], [7, 6, 8, 1]]
11;1.7940521240234375;[[18, 18], [3, 3, 12, 1], [4, 3, 15, 1], [3, 5, 1, 8], [3, 6, 16, 13], [7, 3, 1, 13], [8, 3, 8, 13], [10, 3, 1, 16], [11, 3, 1, 1], [3, 4, 6, 4], [4, 4, 9, 4], [5, 4, 1, 4], [6, 4, 13, 4], [5, 3, 11, 16], [4, 5, 10, 8], [5, 5, 14, 8], [6, 5, 4, 8]]
12;0.5695400238037109;[[19, 19], [3, 3, 17, 17], [3, 4, 17, 1], [3, 5, 17, 12], [3, 6, 10, 14], [3, 7, 17, 5], [3, 8, 4, 12], [3, 9, 1, 11], [3, 10, 1, 1], [3, 11, 4, 1], [3, 13, 10, 1], [3, 19, 7, 1], [4, 5, 13, 7], [4, 6, 13, 1], [4, 8, 13, 12]]
13;0.44557762145996094;[[20, 20], [3, 3, 14, 9], [3, 4, 5, 4], [3, 5, 11, 1], [6, 3, 5, 1], [7, 3, 1, 18], [3, 8, 14, 1], [3, 9, 14, 12], [3, 10, 5, 8], [3, 11, 11, 10], [3, 17, 8, 4], [3, 4, 11, 6], [4, 9, 17, 1], [4, 11, 17, 10], [4, 17, 1, 1]]
14;1.4859771728515625;[[21, 21], [3, 3, 10, 1], [4, 3, 6, 16], [5, 3, 1, 16], [3, 6, 10, 4], [7, 3, 15, 19], [3, 8, 19, 11], [3, 9, 13, 1], [3, 10, 19, 1], [14, 3, 1, 19], [3, 18, 16, 1], [4, 4, 1, 1], [6, 4, 10, 10], [4, 11, 1, 5], [6, 5, 10, 14], [5, 15, 5, 1]]
