Instance;Time;Solution
1;0.0;[[8, 8], [3, 3, 7, 6], [3, 5, 7, 1], [5, 3, 2, 6], [5, 5, 2, 1]]
2;0.0019931793212890625;[[9, 9], [3, 3, 7, 7], [3, 4, 1, 1], [3, 5, 1, 5], [3, 6, 7, 1], [3, 9, 4, 1]]
3;0.0029449462890625;[[10, 10], [3, 3, 8, 8], [3, 4, 1, 1], [3, 6, 1, 5], [3, 7, 8, 1], [4, 4, 4, 7], [4, 6, 4, 1]]
4;0.030719757080078125;[[11, 12], [3, 3, 5, 9], [3, 4, 5, 5], [3, 5, 10, 1], [3, 6, 2, 7], [5, 3, 8, 10], [5, 4, 8, 6], [8, 4, 2, 1]]
5;0.09546661376953125;[[12, 13], [3, 3, 10, 8], [3, 4, 1, 10], [3, 5, 4, 1], [3, 6, 4, 8], [3, 7, 10, 1], [3, 8, 7, 1], [3, 9, 1, 1], [6, 3, 7, 11]]
6;0.0039997100830078125;[[13, 13], [3, 3, 11, 7], [3, 4, 7, 10], [3, 5, 1, 1], [3, 6, 11, 1], [3, 7, 4, 7], [3, 8, 1, 6], [4, 3, 7, 7], [4, 4, 10, 10], [7, 6, 4, 1]]
7;0.024425506591796875;[[14, 14], [3, 3, 13, 12], [3, 4, 13, 1], [3, 5, 7, 1], [3, 6, 10, 1], [3, 7, 13, 5], [3, 8, 10, 7], [3, 9, 7, 6], [5, 4, 2, 11], [5, 10, 2, 1]]
8;0.0276947021484375;[[15, 15], [3, 3, 13, 13], [3, 4, 4, 4], [3, 5, 7, 4], [3, 6, 10, 1], [3, 7, 7, 9], [3, 8, 4, 8], [3, 9, 10, 7], [3, 12, 13, 1], [3, 15, 1, 1], [6, 3, 4, 1]]
9;0.04833793640136719;[[16, 16], [3, 3, 15, 14], [3, 4, 9, 1], [3, 5, 15, 1], [3, 6, 12, 1], [3, 7, 6, 10], [3, 8, 15, 6], [3, 10, 12, 7], [3, 12, 9, 5], [4, 7, 2, 10], [7, 9, 2, 1]]
10;0.19417762756347656;[[17, 17], [3, 3, 15, 15], [3, 4, 8, 1], [3, 5, 1, 10], [3, 6, 8, 12], [3, 7, 8, 5], [3, 8, 11, 7], [3, 9, 1, 1], [4, 3, 11, 15], [4, 8, 14, 7], [4, 14, 4, 1], [7, 3, 1, 15], [7, 6, 11, 1]]
11;2.9114742279052734;[[18, 18], [3, 3, 16, 16], [3, 4, 16, 12], [3, 5, 16, 7], [3, 6, 16, 1], [3, 7, 13, 12], [3, 8, 5, 1], [3, 10, 1, 9], [3, 11, 8, 1], [4, 3, 1, 6], [4, 4, 9, 15], [4, 5, 1, 1], [4, 6, 4, 9], [5, 3, 8, 12], [5, 4, 4, 15], [5, 5, 11, 7], [5, 6, 11, 1]]
12;0.5753498077392578;[[19, 19], [3, 3, 18, 17], [3, 4, 2, 8], [3, 5, 18, 12], [3, 6, 15, 1], [3, 7, 2, 1], [3, 8, 2, 12], [3, 9, 12, 11], [3, 10, 12, 1], [3, 11, 18, 1], [3, 13, 15, 7], [3, 19, 9, 1], [4, 5, 5, 7], [4, 6, 5, 1], [4, 8, 5, 12]]
13;17.50038719177246;[[20, 20], [3, 3, 21, 18], [3, 4, 15, 7], [3, 5, 18, 9], [3, 6, 15, 1], [3, 7, 18, 14], [3, 8, 18, 1], [3, 9, 12, 1], [3, 10, 15, 11], [3, 11, 12, 10], [3, 17, 21, 1], [4, 3, 8, 18], [4, 9, 24, 12], [4, 11, 24, 1], [4, 17, 8, 1]]
14;2.4003028869628906;[[21, 21], [3, 3, 24, 19], [3, 4, 14, 1], [3, 5, 6, 17], [3, 6, 6, 11], [3, 7, 17, 15], [3, 8, 14, 14], [3, 9, 14, 5], [3, 10, 6, 1], [3, 14, 17, 1], [3, 18, 24, 1], [4, 4, 20, 18], [4, 6, 20, 1], [4, 11, 20, 7], [5, 6, 9, 16], [5, 15, 9, 1]]
15;2.9753684997558594;[[22, 22], [3, 3, 20, 20], [3, 4, 4, 5], [3, 5, 4, 9], [3, 6, 20, 1], [3, 7, 1, 5], [3, 8, 14, 1], [3, 9, 4, 14], [3, 10, 17, 13], [3, 11, 1, 12], [3, 12, 17, 1], [3, 13, 20, 7], [3, 14, 14, 9], [3, 22, 11, 1], [4, 3, 7, 20], [4, 19, 7, 1], [6, 4, 1, 1]]
16;300.0562400817871;None
17;10.473760604858398;[[24, 24], [3, 3, 24, 22], [3, 4, 21, 1], [3, 5, 24, 10], [3, 6, 3, 19], [3, 7, 24, 15], [3, 8, 21, 5], [3, 9, 24, 1], [3, 10, 11, 15], [3, 12, 21, 13], [3, 14, 11, 1], [3, 18, 3, 1], [3, 24, 18, 1], [4, 3, 14, 13], [4, 4, 14, 21], [4, 5, 14, 16], [4, 12, 14, 1], [5, 8, 6, 17], [5, 16, 6, 1]]
18;5.445539474487305;[[25, 25], [3, 3, 24, 23], [3, 4, 24, 9], [3, 5, 14, 4], [3, 6, 17, 1], [3, 7, 8, 1], [3, 8, 24, 1], [3, 9, 11, 17], [3, 10, 24, 13], [3, 11, 5, 1], [3, 13, 11, 4], [3, 14, 5, 12], [3, 17, 14, 9], [3, 18, 8, 8], [3, 19, 17, 7], [3, 25, 2, 1], [4, 5, 20, 1], [4, 7, 20, 19], [4, 13, 20, 6], [6, 3, 11, 1]]
19;300.00721740722656;None
20;300.0358123779297;None
21;300.0984230041504;None
22;108.22564506530762;[[29, 29], [3, 3, 21, 27], [3, 4, 3, 8], [3, 5, 21, 1], [3, 6, 18, 16], [3, 7, 3, 1], [3, 8, 18, 22], [3, 9, 10, 21], [3, 10, 21, 6], [3, 11, 21, 16], [3, 15, 18, 1], [3, 18, 3, 12], [3, 20, 6, 1], [4, 3, 28, 8], [4, 4, 28, 26], [4, 5, 24, 1], [4, 6, 24, 24], [4, 7, 28, 1], [4, 9, 6, 21], [4, 15, 28, 11], [4, 18, 24, 6], [4, 20, 9, 1], [5, 4, 13, 1], [5, 8, 13, 22], [5, 17, 13, 5]]
23;23.165979385375977;[[30, 30], [3, 3, 24, 28], [3, 4, 4, 1], [3, 5, 1, 1], [3, 6, 4, 25], [3, 7, 21, 14], [3, 8, 24, 1], [3, 9, 4, 5], [3, 10, 21, 21], [3, 11, 4, 14], [3, 13, 21, 1], [3, 14, 7, 17], [3, 16, 7, 1], [3, 19, 24, 9], [3, 25, 1, 6], [4, 3, 27, 1], [4, 4, 27, 27], [4, 6, 27, 4], [4, 8, 27, 10], [4, 9, 27, 18], [11, 30, 10, 1]]
24;2.0503501892089844;[[31, 31], [3, 3, 29, 8], [3, 4, 4, 1], [3, 5, 4, 5], [3, 6, 22, 1], [3, 7, 29, 1], [3, 8, 19, 1], [3, 9, 25, 23], [3, 10, 19, 22], [3, 11, 22, 7], [3, 12, 25, 11], [3, 13, 19, 9], [3, 14, 22, 18], [3, 22, 4, 10], [3, 31, 1, 1], [4, 3, 25, 8], [4, 7, 25, 1], [4, 8, 28, 24], [4, 13, 28, 11], [12, 31, 7, 1]]
25;300.02574157714844;None
26;300.0068588256836;None
27;120.9369125366211;[[34, 34], [3, 3, 32, 32], [3, 4, 1, 26], [3, 5, 1, 30], [3, 6, 32, 26], [3, 7, 32, 11], [3, 8, 32, 18], [3, 9, 8, 1], [3, 10, 32, 1], [3, 11, 1, 15], [3, 12, 29, 1], [3, 13, 26, 22], [3, 14, 1, 1], [3, 21, 26, 1], [3, 22, 29, 13], [3, 25, 8, 10], [3, 34, 23, 1], [4, 4, 4, 31], [4, 5, 4, 26], [4, 11, 4, 1], [4, 14, 4, 12], [12, 34, 11, 1]]
28;300.0387783050537;None
