Instance;Time;Solution
1;0.0;[[8, 8], [3, 3, 6, 1], [3, 5, 6, 4], [5, 3, 1, 6], [5, 5, 1, 1]]
2;0.002094268798828125;[[9, 9], [3, 3, 7, 7], [3, 4, 1, 1], [3, 5, 1, 5], [3, 6, 7, 1], [3, 9, 4, 1]]
3;0.00299835205078125;[[10, 10], [3, 3, 1, 1], [3, 4, 4, 7], [3, 6, 8, 1], [3, 7, 1, 4], [4, 4, 7, 7], [4, 6, 4, 1]]
4;0.010807037353515625;[[11, 11], [3, 3, 9, 1], [3, 4, 1, 5], [5, 3, 1, 9], [6, 3, 6, 9], [3, 5, 9, 4], [5, 4, 4, 5], [8, 4, 1, 1]]
5;0.014007568359375;[[12, 12], [3, 3, 4, 10], [3, 4, 1, 1], [3, 5, 10, 8], [3, 6, 7, 7], [3, 7, 10, 1], [3, 8, 1, 5], [3, 9, 4, 1], [3, 6, 7, 1]]
6;0.08500099182128906;[[13, 13], [3, 3, 1, 11], [3, 4, 1, 1], [3, 5, 11, 1], [3, 6, 1, 5], [7, 3, 4, 11], [3, 8, 11, 6], [3, 4, 4, 7], [4, 4, 7, 7], [7, 6, 4, 1]]
7;0.10863494873046875;[[14, 14], [3, 3, 12, 9], [4, 3, 4, 12], [5, 3, 4, 6], [6, 3, 9, 6], [7, 3, 8, 12], [8, 3, 4, 9], [3, 9, 1, 6], [4, 5, 1, 1], [10, 5, 5, 1]]
8;0.018993377685546875;[[15, 15], [3, 3, 13, 13], [3, 4, 13, 1], [3, 5, 7, 8], [6, 3, 7, 13], [3, 7, 7, 1], [3, 8, 13, 5], [3, 9, 4, 1], [3, 12, 10, 1], [3, 15, 1, 1], [3, 6, 4, 10]]
9;0.14876937866210938;[[16, 16], [3, 3, 1, 1], [3, 4, 14, 1], [3, 5, 11, 4], [3, 6, 1, 11], [3, 7, 1, 4], [3, 8, 11, 9], [10, 3, 4, 1], [3, 12, 14, 5], [7, 4, 4, 13], [7, 9, 4, 4]]
10;0.5308418273925781;[[17, 17], [3, 3, 15, 8], [3, 4, 15, 4], [3, 5, 1, 10], [6, 3, 12, 1], [7, 3, 1, 15], [3, 8, 12, 10], [3, 9, 1, 1], [4, 3, 8, 1], [4, 8, 8, 10], [4, 14, 4, 1], [3, 7, 15, 11], [7, 6, 8, 4]]
11;1.666585922241211;[[18, 18], [3, 3, 16, 9], [4, 3, 1, 1], [5, 3, 1, 4], [6, 3, 5, 16], [3, 7, 16, 12], [3, 8, 16, 1], [10, 3, 6, 4], [11, 3, 5, 1], [4, 3, 1, 12], [4, 4, 1, 15], [4, 5, 1, 7], [6, 4, 5, 7], [5, 3, 11, 16], [5, 4, 11, 7], [5, 5, 11, 11], [6, 5, 5, 11]]
12;2.64044189453125;[[19, 19], [3, 3, 11, 4], [3, 4, 14, 1], [3, 5, 8, 4], [6, 3, 8, 1], [3, 7, 14, 5], [3, 8, 14, 12], [3, 9, 17, 11], [3, 10, 17, 1], [3, 11, 8, 9], [3, 13, 11, 7], [3, 19, 1, 1], [4, 5, 4, 7], [4, 6, 4, 1], [4, 8, 4, 12]]
