Instance;Time;Solution
1;0.04;[[8, 8], [3, 3, 6, 1], [3, 5, 6, 4], [5, 3, 1, 6], [5, 5, 1, 1]]
2;0.058;[[9, 9], [3, 3, 7, 7], [3, 4, 1, 1], [3, 5, 1, 5], [3, 6, 7, 1], [3, 9, 4, 1]]
3;0.091;[[10, 10], [3, 3, 8, 1], [3, 4, 1, 7], [3, 6, 1, 1], [3, 7, 8, 4], [4, 4, 4, 7], [4, 6, 4, 1]]
4;0.288;[[11, 11], [3, 3, 1, 1], [3, 4, 1, 8], [3, 5, 9, 7], [3, 6, 9, 1], [5, 3, 4, 1], [5, 4, 4, 8], [8, 4, 1, 4]]
5;0.409;[[12, 12], [3, 3, 4, 7], [3, 4, 10, 1], [3, 5, 7, 8], [3, 6, 4, 1], [3, 7, 7, 1], [3, 8, 10, 5], [3, 9, 1, 1], [6, 3, 1, 10]]
6;0.592;[[13, 13], [3, 3, 4, 11], [3, 4, 8, 7], [3, 5, 1, 9], [3, 6, 11, 1], [3, 7, 11, 7], [3, 8, 1, 1], [4, 3, 7, 11], [4, 4, 4, 7], [7, 6, 4, 1]]
7;0.587;[[14, 14], [3, 3, 9, 8], [3, 4, 9, 11], [3, 5, 12, 10], [3, 6, 1, 1], [3, 7, 9, 1], [3, 8, 1, 7], [3, 9, 12, 1], [5, 4, 4, 11], [5, 10, 4, 1]]
8;0.732;[[15, 15], [3, 3, 4, 1], [3, 4, 13, 12], [3, 5, 10, 11], [3, 6, 1, 10], [3, 7, 10, 4], [3, 8, 13, 4], [3, 9, 1, 1], [3, 12, 4, 4], [3, 15, 7, 1], [6, 3, 10, 1]]
9;0.784;[[16, 16], [3, 3, 11, 1], [3, 4, 14, 13], [3, 5, 11, 12], [3, 6, 8, 1], [3, 7, 5, 10], [3, 8, 11, 4], [3, 10, 8, 7], [3, 12, 14, 1], [4, 7, 1, 10], [7, 9, 1, 1]]
10;0.659;[[17, 17], [3, 3, 1, 15], [3, 4, 15, 7], [3, 5, 4, 10], [3, 6, 1, 1], [3, 7, 15, 11], [3, 8, 1, 7], [3, 9, 4, 1], [4, 3, 11, 15], [4, 8, 11, 7], [4, 14, 7, 1], [7, 3, 4, 15], [7, 6, 11, 1]]
