Instance;Time;Solution
1;0.102;[[8, 8], [3, 3, 6, 1], [3, 5, 6, 4], [5, 3, 1, 6], [5, 5, 1, 1]]
2;0.166;[[9, 9], [3, 3, 4, 7], [3, 4, 7, 6], [3, 5, 7, 1], [3, 6, 4, 1], [3, 9, 1, 1]]
3;0.283;[[10, 10], [3, 3, 8, 1], [3, 4, 5, 1], [3, 6, 5, 5], [3, 7, 8, 4], [4, 4, 1, 7], [4, 6, 1, 1]]
4;1.124;[[11, 11], [3, 3, 1, 9], [3, 4, 1, 5], [3, 5, 9, 7], [3, 6, 9, 1], [5, 3, 4, 9], [5, 4, 4, 5], [8, 4, 1, 1]]
5;1.351;[[12, 12], [3, 3, 7, 7], [3, 4, 1, 1], [3, 5, 10, 1], [3, 6, 7, 1], [3, 7, 10, 6], [3, 8, 1, 5], [3, 9, 4, 1], [6, 3, 4, 10]]
6;2.139;[[13, 13], [3, 3, 8, 11], [4, 3, 7, 8], [3, 5, 11, 1], [6, 3, 1, 1], [7, 3, 1, 11], [3, 8, 11, 6], [4, 3, 7, 1], [4, 4, 7, 4], [6, 7, 1, 4]]
7;2.151;[[14, 14], [3, 3, 6, 5], [3, 4, 6, 1], [3, 5, 9, 10], [3, 6, 12, 1], [3, 7, 6, 8], [3, 8, 12, 7], [3, 9, 9, 1], [5, 4, 1, 11], [5, 10, 1, 1]]
8;2.723;[[15, 15], [3, 3, 7, 1], [3, 4, 4, 7], [3, 5, 4, 11], [3, 6, 4, 1], [3, 7, 10, 9], [3, 8, 10, 1], [3, 9, 13, 1], [3, 12, 7, 4], [3, 15, 1, 1], [3, 6, 13, 10]]
9;3.014;[[16, 16], [3, 3, 11, 9], [3, 4, 14, 13], [3, 5, 11, 12], [3, 6, 1, 11], [3, 7, 8, 10], [3, 8, 11, 1], [3, 10, 1, 1], [3, 12, 14, 1], [4, 7, 4, 10], [7, 9, 4, 1]]
10;3.174;[[17, 17], [3, 3, 15, 1], [4, 3, 5, 1], [3, 5, 5, 4], [6, 3, 9, 1], [3, 7, 15, 11], [3, 8, 8, 10], [3, 9, 5, 9], [4, 3, 1, 15], [4, 8, 11, 10], [4, 14, 1, 1], [3, 7, 15, 4], [7, 6, 8, 4]]
11;20.39;[[18, 18], [3, 3, 1, 1], [3, 4, 1, 15], [5, 3, 14, 4], [6, 3, 8, 4], [3, 7, 8, 12], [8, 3, 11, 16], [10, 3, 9, 1], [3, 11, 5, 4], [3, 4, 16, 12], [4, 4, 4, 15], [4, 5, 1, 4], [4, 6, 1, 9], [5, 3, 4, 1], [5, 4, 11, 12], [5, 5, 14, 7], [6, 5, 8, 7]]
12;13.395;[[19, 19], [3, 3, 17, 1], [3, 4, 11, 1], [3, 5, 14, 1], [6, 3, 14, 17], [3, 7, 11, 5], [3, 8, 11, 12], [3, 9, 1, 11], [3, 10, 1, 1], [3, 11, 14, 6], [3, 13, 17, 4], [3, 19, 4, 1], [4, 5, 7, 1], [4, 6, 7, 6], [4, 8, 7, 12]]
13;12.895;[[20, 20], [3, 3, 15, 18], [3, 4, 12, 17], [3, 5, 1, 1], [3, 6, 12, 11], [3, 7, 1, 6], [3, 8, 1, 13], [3, 9, 18, 12], [3, 10, 12, 1], [3, 11, 18, 1], [3, 17, 15, 1], [4, 3, 4, 18], [4, 9, 8, 12], [4, 11, 8, 1], [4, 17, 4, 1]]
14;16.215;[[21, 21], [3, 3, 1, 19], [3, 4, 9, 6], [3, 5, 9, 1], [6, 3, 16, 5], [7, 3, 12, 16], [3, 8, 16, 8], [3, 9, 9, 10], [10, 3, 9, 19], [3, 14, 19, 8], [3, 18, 1, 1], [4, 4, 18, 1], [6, 4, 12, 1], [4, 11, 12, 5], [5, 6, 4, 16], [5, 15, 4, 1]]
15;11.905;[[22, 22], [3, 3, 11, 20], [3, 4, 20, 1], [3, 5, 17, 7], [3, 6, 17, 1], [3, 7, 17, 12], [3, 8, 7, 12], [3, 9, 1, 14], [3, 10, 14, 1], [3, 11, 7, 1], [3, 12, 14, 11], [3, 13, 1, 1], [3, 14, 20, 5], [3, 22, 4, 1], [4, 3, 7, 20], [4, 19, 10, 1], [6, 4, 17, 19]]
16;47.483;[[23, 23], [3, 3, 1, 21], [4, 3, 8, 12], [3, 5, 15, 9], [6, 3, 18, 1], [7, 3, 8, 9], [3, 8, 18, 4], [3, 9, 12, 12], [3, 10, 15, 14], [11, 3, 4, 21], [3, 12, 18, 12], [3, 14, 21, 4], [3, 20, 1, 1], [3, 4, 15, 1], [4, 4, 4, 5], [4, 6, 8, 15], [10, 4, 8, 5], [11, 4, 4, 1], [4, 12, 4, 9], [3, 6, 21, 18]]
17;32.264;[[24, 24], [3, 3, 15, 4], [3, 4, 22, 4], [5, 3, 20, 1], [3, 6, 9, 19], [3, 7, 22, 8], [8, 3, 12, 1], [3, 9, 12, 16], [3, 10, 22, 15], [3, 12, 12, 4], [3, 14, 15, 7], [3, 18, 9, 1], [3, 24, 1, 1], [3, 4, 19, 21], [4, 4, 15, 21], [4, 5, 18, 16], [4, 12, 18, 4], [5, 8, 4, 17], [5, 16, 4, 1]]
18;29.916;[[25, 25], [3, 3, 10, 23], [4, 3, 19, 5], [3, 5, 16, 1], [3, 6, 7, 20], [3, 7, 4, 19], [3, 8, 13, 1], [3, 9, 10, 1], [3, 10, 23, 5], [3, 11, 23, 15], [3, 13, 10, 10], [3, 14, 13, 9], [3, 17, 16, 6], [3, 18, 4, 1], [3, 19, 7, 1], [3, 25, 1, 1], [4, 5, 19, 21], [7, 4, 19, 1], [4, 13, 19, 8], [6, 3, 13, 23]]
19;85.956;[[26, 26], [3, 3, 24, 24], [3, 4, 11, 1], [3, 5, 1, 22], [3, 6, 11, 5], [7, 3, 4, 20], [3, 8, 24, 1], [3, 9, 17, 1], [3, 10, 1, 12], [3, 11, 1, 1], [3, 12, 14, 15], [3, 14, 14, 1], [3, 15, 24, 9], [3, 16, 11, 11], [3, 17, 17, 10], [3, 19, 8, 1], [3, 4, 8, 23], [4, 4, 4, 23], [4, 5, 4, 15], [4, 7, 20, 20], [4, 8, 20, 12], [4, 11, 20, 1], [4, 14, 4, 1]]
