Instance;Time;Solution
1;0.104;[[8, 8], [3, 3, 6, 1], [3, 5, 6, 4], [5, 3, 1, 6], [5, 5, 1, 1]]
2;0.158;[[9, 9], [3, 3, 7, 7], [3, 4, 4, 6], [3, 5, 4, 1], [3, 6, 7, 1], [3, 9, 1, 1]]
3;0.282;[[10, 10], [3, 3, 1, 8], [3, 4, 4, 7], [3, 6, 8, 1], [3, 7, 1, 1], [4, 4, 7, 7], [4, 6, 4, 1]]
4;1.028;[[11, 11], [3, 3, 9, 6], [3, 4, 6, 5], [3, 5, 9, 1], [6, 3, 6, 9], [5, 3, 1, 5], [5, 4, 1, 8], [8, 4, 1, 1]]
5;1.33;[[12, 12], [3, 3, 1, 10], [3, 4, 4, 1], [3, 5, 7, 8], [3, 6, 10, 1], [3, 7, 7, 1], [3, 8, 4, 5], [3, 9, 1, 1], [3, 6, 10, 7]]
6;2.075;[[13, 13], [3, 3, 11, 8], [4, 3, 10, 11], [3, 5, 1, 9], [6, 3, 4, 11], [3, 7, 11, 1], [3, 8, 1, 1], [3, 4, 8, 7], [4, 4, 4, 7], [7, 6, 4, 1]]
7;2.028;[[14, 14], [3, 3, 9, 12], [3, 4, 12, 11], [3, 5, 1, 10], [6, 3, 9, 1], [3, 7, 12, 4], [3, 8, 9, 4], [3, 9, 1, 1], [5, 4, 4, 11], [5, 10, 4, 1]]
8;2.617;[[15, 15], [3, 3, 13, 13], [3, 4, 4, 9], [3, 5, 1, 1], [6, 3, 1, 13], [3, 7, 1, 6], [3, 8, 4, 1], [3, 9, 10, 1], [3, 12, 13, 1], [3, 15, 7, 1], [3, 6, 10, 10]]
9;2.91;[[16, 16], [3, 3, 14, 11], [3, 4, 8, 1], [3, 5, 11, 9], [6, 3, 11, 14], [3, 7, 5, 10], [3, 8, 11, 1], [3, 10, 14, 1], [3, 12, 8, 5], [4, 7, 1, 10], [7, 9, 1, 1]]
10;2.624;[[17, 17], [3, 3, 12, 15], [4, 3, 14, 1], [3, 5, 12, 10], [3, 6, 15, 4], [3, 7, 5, 11], [3, 8, 15, 10], [9, 3, 5, 1], [4, 3, 1, 15], [4, 8, 8, 10], [4, 14, 1, 1], [3, 7, 5, 4], [7, 6, 8, 4]]
11;23.895;[[18, 18], [3, 3, 7, 9], [3, 4, 1, 15], [3, 5, 7, 4], [6, 3, 1, 1], [7, 3, 12, 1], [3, 8, 4, 4], [10, 3, 4, 12], [3, 11, 1, 4], [4, 3, 10, 9], [4, 4, 10, 15], [5, 4, 14, 4], [6, 4, 4, 15], [5, 3, 7, 1], [4, 5, 10, 4], [5, 5, 14, 14], [5, 6, 14, 8]]
12;13.971;[[19, 19], [3, 3, 17, 1], [3, 4, 13, 7], [3, 5, 13, 11], [3, 6, 4, 14], [7, 3, 10, 1], [3, 8, 1, 12], [3, 9, 10, 7], [10, 3, 10, 4], [3, 11, 1, 1], [3, 13, 4, 1], [3, 19, 7, 1], [4, 5, 16, 7], [6, 4, 10, 16], [4, 8, 16, 12]]
13;11.822;[[20, 20], [3, 3, 18, 1], [3, 4, 1, 11], [3, 5, 12, 1], [3, 6, 1, 15], [3, 7, 12, 14], [3, 8, 12, 6], [3, 9, 15, 1], [3, 10, 1, 1], [3, 11, 15, 10], [3, 17, 18, 4], [4, 3, 8, 18], [4, 9, 4, 1], [4, 11, 4, 10], [4, 17, 8, 1]]
14;15.032;[[21, 21], [3, 3, 1, 19], [4, 3, 12, 16], [3, 5, 19, 4], [6, 3, 16, 1], [7, 3, 9, 19], [3, 8, 9, 1], [3, 9, 19, 9], [3, 10, 9, 9], [3, 14, 16, 4], [3, 18, 1, 1], [4, 4, 12, 1], [6, 4, 16, 18], [4, 11, 12, 5], [5, 6, 4, 16], [5, 15, 4, 1]]
15;11.651;[[22, 22], [3, 3, 17, 1], [3, 4, 11, 1], [3, 5, 4, 1], [3, 6, 14, 1], [3, 7, 4, 6], [3, 8, 17, 4], [3, 9, 20, 14], [3, 10, 4, 13], [3, 11, 17, 12], [3, 12, 14, 7], [3, 13, 20, 1], [3, 14, 11, 5], [3, 22, 1, 1], [4, 3, 7, 20], [4, 19, 7, 1], [6, 4, 11, 19]]
16;51.028;[[23, 23], [3, 3, 7, 21], [4, 3, 20, 21], [5, 3, 13, 1], [6, 3, 18, 1], [3, 7, 1, 1], [3, 8, 4, 1], [3, 9, 10, 1], [3, 10, 21, 8], [3, 11, 4, 9], [3, 12, 1, 8], [3, 14, 10, 10], [3, 20, 7, 1], [4, 3, 20, 18], [4, 4, 13, 20], [6, 4, 1, 20], [4, 10, 17, 8], [11, 4, 13, 4], [4, 12, 13, 8], [3, 6, 17, 18]]
17;26.269;[[24, 24], [3, 3, 19, 14], [3, 4, 15, 1], [3, 5, 10, 20], [3, 6, 1, 19], [7, 3, 10, 17], [3, 8, 22, 17], [3, 9, 19, 5], [3, 10, 7, 1], [3, 12, 22, 5], [3, 14, 7, 11], [3, 18, 1, 1], [3, 24, 4, 1], [3, 4, 18, 1], [4, 4, 21, 1], [4, 5, 13, 20], [4, 12, 15, 5], [5, 8, 17, 17], [5, 16, 10, 1]]
18;29.318;[[25, 25], [3, 3, 23, 18], [3, 4, 23, 1], [3, 5, 23, 21], [3, 6, 4, 1], [3, 7, 7, 19], [3, 8, 10, 1], [3, 9, 13, 11], [3, 10, 13, 1], [3, 11, 16, 15], [3, 13, 23, 5], [3, 14, 16, 1], [3, 17, 10, 9], [3, 18, 7, 1], [3, 19, 4, 7], [3, 25, 1, 1], [4, 5, 19, 1], [4, 7, 19, 19], [4, 13, 19, 6], [3, 6, 13, 20]]
19;101.657;[[26, 26], [3, 3, 24, 19], [3, 4, 21, 9], [3, 5, 24, 22], [3, 6, 24, 13], [3, 7, 15, 20], [3, 8, 21, 1], [3, 9, 4, 18], [3, 10, 1, 1], [3, 11, 18, 1], [3, 12, 24, 1], [3, 14, 21, 13], [3, 15, 18, 12], [3, 16, 1, 11], [3, 17, 4, 1], [3, 19, 11, 1], [4, 3, 7, 24], [4, 4, 7, 1], [4, 5, 7, 5], [4, 7, 11, 20], [4, 8, 14, 12], [4, 11, 14, 1], [4, 14, 7, 10]]
20;34.778;[[27, 27], [3, 3, 1, 25], [4, 3, 19, 1], [5, 3, 23, 1], [6, 3, 19, 4], [7, 3, 1, 1], [3, 8, 16, 20], [3, 9, 19, 7], [3, 10, 1, 4], [3, 11, 1, 14], [3, 12, 19, 16], [3, 19, 16, 1], [3, 20, 25, 4], [3, 21, 22, 7], [3, 4, 25, 24], [4, 4, 4, 24], [4, 6, 8, 15], [4, 7, 8, 21], [4, 8, 12, 20], [4, 14, 8, 1], [4, 19, 12, 1], [4, 20, 4, 4]]
21;113.025;[[28, 28], [3, 3, 8, 5], [4, 3, 11, 5], [3, 5, 26, 24], [3, 6, 17, 13], [3, 7, 23, 22], [8, 3, 15, 5], [9, 3, 8, 21], [3, 10, 17, 19], [3, 11, 1, 18], [3, 16, 20, 13], [3, 17, 1, 1], [3, 21, 23, 1], [3, 23, 26, 1], [3, 4, 16, 1], [4, 4, 19, 1], [4, 5, 4, 24], [8, 4, 8, 1], [4, 13, 13, 8], [4, 23, 4, 1], [6, 5, 17, 8], [9, 5, 8, 24], [5, 13, 8, 8]]
22;218.769;[[29, 29], [3, 3, 13, 17], [3, 4, 23, 26], [5, 3, 10, 1], [3, 6, 10, 4], [7, 3, 23, 1], [8, 3, 15, 1], [3, 9, 13, 4], [3, 10, 13, 20], [3, 11, 16, 4], [3, 15, 20, 15], [3, 18, 27, 8], [3, 20, 6, 10], [3, 4, 13, 13], [4, 4, 26, 26], [5, 4, 25, 4], [6, 4, 19, 4], [4, 7, 19, 8], [9, 4, 1, 1], [4, 15, 16, 15], [4, 18, 23, 8], [4, 20, 9, 10], [4, 5, 6, 5], [5, 8, 1, 22], [5, 17, 1, 5]]
23;44.208;[[30, 30], [3, 3, 18, 8], [4, 3, 27, 28], [3, 5, 21, 26], [3, 6, 18, 25], [3, 7, 18, 1], [3, 8, 1, 23], [3, 9, 1, 1], [3, 10, 18, 11], [3, 11, 4, 20], [3, 13, 1, 10], [3, 14, 24, 17], [3, 16, 24, 1], [3, 19, 4, 1], [3, 25, 21, 1], [3, 4, 18, 21], [4, 4, 27, 18], [4, 6, 27, 22], [4, 8, 27, 1], [4, 9, 27, 9], [11, 30, 7, 1]]
24;38.136;[[31, 31], [3, 3, 22, 11], [4, 3, 22, 26], [3, 5, 1, 13], [3, 6, 1, 26], [3, 7, 4, 12], [3, 8, 1, 18], [3, 9, 19, 23], [3, 10, 22, 1], [3, 11, 4, 1], [3, 12, 1, 1], [3, 13, 4, 19], [3, 14, 26, 18], [3, 22, 19, 1], [3, 31, 29, 1], [4, 3, 22, 29], [7, 4, 22, 14], [4, 8, 22, 18], [4, 13, 25, 1], [12, 31, 7, 1]]
25;225.53;[[32, 32], [3, 3, 14, 30], [3, 4, 27, 1], [3, 5, 7, 28], [6, 3, 1, 5], [7, 3, 14, 4], [3, 8, 14, 22], [3, 9, 30, 1], [3, 10, 21, 1], [11, 3, 10, 1], [3, 12, 1, 8], [3, 13, 1, 20], [3, 14, 24, 19], [3, 15, 14, 7], [3, 18, 24, 1], [3, 22, 21, 11], [3, 23, 30, 10], [3, 24, 27, 9], [3, 25, 4, 8], [3, 27, 7, 1], [3, 4, 27, 5], [4, 4, 10, 29], [4, 5, 17, 7], [6, 4, 1, 1], [4, 7, 10, 4], [4, 10, 17, 23], [4, 11, 17, 12], [4, 18, 10, 11]]
26;135.546;[[33, 33], [3, 3, 1, 31], [3, 4, 24, 1], [3, 5, 24, 5], [3, 6, 21, 25], [7, 3, 27, 1], [3, 8, 27, 19], [3, 9, 11, 25], [3, 10, 21, 15], [13, 3, 21, 31], [3, 14, 21, 1], [3, 15, 27, 4], [3, 17, 24, 10], [3, 24, 11, 1], [3, 30, 1, 1], [3, 33, 18, 1], [4, 3, 30, 18], [4, 4, 14, 1], [4, 6, 30, 21], [10, 4, 24, 27], [4, 12, 14, 22], [4, 14, 30, 4], [4, 17, 14, 5], [7, 33, 4, 1]]
27;48.292;[[34, 34], [3, 3, 19, 1], [3, 4, 23, 10], [3, 5, 16, 30], [3, 6, 19, 4], [3, 7, 23, 28], [3, 8, 16, 22], [3, 9, 32, 26], [3, 10, 16, 1], [3, 11, 16, 11], [3, 12, 1, 23], [3, 13, 29, 1], [3, 14, 23, 14], [3, 21, 29, 14], [3, 22, 1, 1], [3, 25, 32, 1], [3, 34, 26, 1], [4, 4, 22, 1], [4, 5, 22, 5], [4, 11, 19, 24], [4, 14, 19, 10], [12, 34, 4, 1]]
