Instance;Elapsed Time;Solution
1;0.039;[[8, 8], [3, 3, 6, 1], [3, 5, 6, 4], [5, 3, 1, 6], [5, 5, 1, 1]]
2;0.062;[[9, 9], [3, 3, 7, 7], [3, 4, 1, 1], [3, 5, 1, 5], [3, 6, 7, 1], [3, 9, 4, 1]]
3;0.293;[[10, 10], [3, 3, 8, 1], [3, 4, 1, 7], [3, 6, 1, 1], [3, 7, 8, 4], [4, 4, 4, 7], [4, 6, 4, 1]]
4;0.288;[[11, 11], [3, 3, 1, 1], [3, 4, 1, 8], [3, 5, 9, 7], [3, 6, 9, 1], [5, 3, 4, 1], [5, 4, 4, 8], [8, 4, 1, 4]]
5;0.407;[[12, 12], [3, 3, 4, 7], [3, 4, 10, 1], [3, 5, 7, 8], [3, 6, 4, 1], [3, 7, 7, 1], [3, 8, 10, 5], [3, 9, 1, 1], [6, 3, 1, 10]]
6;0.888;[[13, 13], [3, 3, 4, 11], [3, 4, 8, 7], [3, 5, 1, 9], [3, 6, 11, 1], [3, 7, 11, 7], [3, 8, 1, 1], [4, 3, 7, 11], [4, 4, 4, 7], [7, 6, 4, 1]]
7;0.945;[[14, 14], [3, 3, 9, 8], [3, 4, 9, 11], [3, 5, 12, 10], [3, 6, 1, 1], [3, 7, 9, 1], [3, 8, 1, 7], [3, 9, 12, 1], [5, 4, 4, 11], [5, 10, 4, 1]]
8;0.383;[[15, 15], [3, 3, 13, 13], [3, 4, 7, 1], [3, 5, 4, 1], [3, 6, 10, 10], [3, 7, 4, 6], [3, 8, 7, 5], [3, 9, 10, 1], [3, 12, 13, 1], [3, 15, 1, 1], [6, 3, 4, 13]]
9;1.269;[[16, 16], [3, 3, 11, 14], [3, 4, 14, 1], [3, 5, 11, 1], [3, 6, 8, 11], [3, 7, 1, 10], [3, 8, 11, 6], [3, 10, 8, 1], [3, 12, 14, 5], [4, 7, 4, 10], [7, 9, 1, 1]]
10;2.026;[[17, 17], [3, 3, 12, 1], [3, 4, 15, 1], [3, 5, 8, 13], [3, 6, 1, 1], [3, 7, 15, 5], [3, 8, 1, 7], [3, 9, 8, 4], [4, 3, 8, 1], [4, 8, 11, 4], [4, 14, 4, 1], [7, 3, 1, 15], [7, 6, 11, 12]]
11;4.297;[[18, 18], [3, 3, 4, 16], [3, 4, 8, 12], [3, 5, 13, 7], [3, 6, 8, 1], [3, 7, 1, 12], [3, 8, 16, 1], [3, 10, 16, 9], [3, 11, 1, 1], [4, 3, 7, 16], [4, 4, 4, 12], [4, 5, 4, 1], [4, 6, 4, 6], [5, 3, 11, 12], [5, 4, 11, 15], [5, 5, 8, 7], [5, 6, 11, 1]]
