Instance;Elapsed Time;Solution;Optimality
1;0.114;[[8, 8], [3, 3, 6, 1], [3, 5, 6, 4], [5, 3, 1, 6], [5, 5, 1, 1]];OPT
2;0.172;[[9, 9], [3, 3, 7, 7], [3, 4, 1, 1], [3, 5, 1, 5], [3, 6, 7, 1], [3, 9, 4, 1]];OPT
3;1.029;[[10, 10], [3, 3, 8, 1], [3, 4, 1, 7], [3, 6, 1, 1], [3, 7, 8, 4], [4, 4, 4, 7], [4, 6, 4, 1]];OPT
4;1.096;[[11, 11], [3, 3, 1, 1], [3, 4, 1, 8], [3, 5, 9, 7], [3, 6, 9, 1], [5, 3, 4, 1], [5, 4, 4, 8], [8, 4, 1, 4]];OPT
5;1.472;[[12, 12], [3, 3, 4, 7], [3, 4, 10, 1], [3, 5, 7, 8], [3, 6, 4, 1], [3, 7, 7, 1], [3, 8, 10, 5], [3, 9, 1, 1], [6, 3, 1, 10]];OPT
6;3.568;[[13, 13], [3, 3, 4, 11], [3, 4, 8, 7], [3, 5, 1, 9], [3, 6, 11, 1], [3, 7, 11, 7], [3, 8, 1, 1], [4, 3, 7, 11], [4, 4, 4, 7], [7, 6, 4, 1]];OPT
7;3.444;[[14, 14], [3, 3, 9, 8], [3, 4, 9, 11], [3, 5, 12, 10], [3, 6, 1, 1], [3, 7, 9, 1], [3, 8, 1, 7], [3, 9, 12, 1], [5, 4, 4, 11], [5, 10, 4, 1]];OPT
8;1.35;[[15, 15], [3, 3, 13, 1], [3, 4, 10, 4], [3, 5, 7, 11], [3, 6, 1, 10], [3, 7, 7, 4], [3, 8, 10, 8], [3, 9, 1, 1], [3, 12, 13, 4], [3, 15, 4, 1], [6, 3, 7, 1]];OPT
9;4.819;[[16, 16], [3, 3, 11, 1], [3, 4, 14, 1], [3, 5, 11, 12], [3, 6, 8, 11], [3, 7, 5, 10], [3, 8, 11, 4], [3, 10, 8, 1], [3, 12, 14, 5], [4, 7, 1, 10], [7, 9, 1, 1]];OPT
10;8.3;[[17, 17], [3, 3, 8, 6], [3, 4, 11, 7], [3, 5, 8, 1], [3, 6, 1, 9], [3, 7, 11, 11], [3, 8, 1, 1], [3, 9, 8, 9], [4, 3, 14, 15], [4, 8, 14, 7], [4, 14, 4, 1], [7, 3, 1, 15], [7, 6, 11, 1]];OPT
11;23.983;[[18, 18], [3, 3, 6, 12], [3, 4, 6, 15], [3, 5, 9, 14], [3, 6, 9, 1], [3, 7, 9, 7], [3, 8, 16, 1], [3, 10, 16, 9], [3, 11, 6, 1], [4, 3, 12, 10], [4, 4, 12, 6], [4, 5, 12, 1], [4, 6, 12, 13], [5, 3, 1, 1], [5, 4, 1, 4], [5, 5, 1, 14], [5, 6, 1, 8]];OPT
12;12.945;[[19, 19], [3, 3, 14, 6], [3, 4, 4, 8], [3, 5, 14, 1], [3, 6, 17, 14], [3, 7, 4, 1], [3, 8, 4, 12], [3, 9, 1, 1], [3, 10, 1, 10], [3, 11, 14, 9], [3, 13, 17, 1], [3, 19, 7, 1], [4, 5, 10, 1], [4, 6, 10, 14], [4, 8, 10, 6]];OPT
13;12.515;[[20, 20], [3, 3, 4, 18], [3, 4, 18, 1], [3, 5, 1, 1], [3, 6, 18, 5], [3, 7, 1, 14], [3, 8, 1, 6], [3, 9, 15, 12], [3, 10, 18, 11], [3, 11, 15, 1], [3, 17, 4, 1], [4, 3, 7, 18], [4, 9, 11, 1], [4, 11, 11, 10], [4, 17, 7, 1]];OPT
14;16.114;[[21, 21], [3, 3, 1, 19], [3, 4, 16, 18], [3, 5, 19, 11], [3, 6, 19, 16], [3, 7, 4, 15], [3, 8, 16, 1], [3, 9, 16, 9], [3, 10, 19, 1], [3, 14, 4, 1], [3, 18, 1, 1], [4, 4, 12, 18], [4, 6, 12, 1], [4, 11, 12, 7], [5, 6, 7, 16], [5, 15, 7, 1]];OPT
15;18.15;[[22, 22], [3, 3, 11, 16], [3, 4, 20, 19], [3, 5, 11, 11], [3, 6, 20, 13], [3, 7, 8, 12], [3, 8, 17, 15], [3, 9, 14, 14], [3, 10, 11, 1], [3, 11, 8, 1], [3, 12, 20, 1], [3, 13, 14, 1], [3, 14, 17, 1], [3, 22, 1, 1], [4, 3, 4, 20], [4, 19, 4, 1], [6, 4, 8, 19]];OPT
16;63.166;[[23, 23], [3, 3, 21, 21], [3, 4, 1, 8], [3, 5, 18, 9], [3, 6, 4, 15], [3, 7, 1, 1], [3, 8, 18, 1], [3, 9, 21, 1], [3, 10, 14, 14], [3, 11, 21, 10], [3, 12, 1, 12], [3, 14, 4, 1], [3, 20, 7, 1], [4, 3, 14, 1], [4, 4, 14, 10], [4, 6, 14, 4], [4, 10, 17, 14], [4, 11, 10, 1], [4, 12, 10, 12], [6, 3, 4, 21]];OPT
17;28.925;[[24, 24], [3, 3, 18, 22], [3, 4, 22, 18], [3, 5, 22, 13], [3, 6, 1, 19], [3, 7, 15, 1], [3, 8, 15, 17], [3, 9, 15, 8], [3, 10, 4, 15], [3, 12, 22, 1], [3, 14, 4, 1], [3, 18, 1, 1], [3, 24, 12, 1], [4, 3, 21, 22], [4, 4, 18, 6], [4, 5, 18, 1], [4, 12, 18, 10], [5, 8, 7, 17], [5, 16, 7, 1]];OPT
18;44.246;[[25, 25], [3, 3, 11, 23], [3, 4, 8, 4], [3, 5, 4, 21], [3, 6, 20, 20], [3, 7, 23, 1], [3, 8, 17, 1], [3, 9, 20, 1], [3, 10, 20, 10], [3, 11, 14, 15], [3, 13, 8, 8], [3, 14, 14, 1], [3, 17, 17, 9], [3, 18, 23, 8], [3, 19, 11, 4], [3, 25, 1, 1], [4, 5, 7, 21], [4, 7, 4, 14], [4, 13, 4, 1], [6, 3, 8, 1]];OPT
19;54.032;[[26, 26], [3, 3, 24, 1], [3, 4, 21, 1], [3, 5, 21, 22], [3, 6, 4, 10], [3, 7, 1, 20], [3, 8, 24, 19], [3, 9, 4, 1], [3, 10, 18, 1], [3, 11, 4, 16], [3, 12, 7, 15], [3, 14, 15, 1], [3, 15, 24, 4], [3, 16, 18, 11], [3, 17, 21, 5], [3, 19, 1, 1], [4, 3, 11, 1], [4, 4, 14, 15], [4, 5, 10, 15], [4, 7, 10, 20], [4, 8, 14, 19], [4, 11, 11, 4], [4, 14, 7, 1]];OPT
20;44.674;[[27, 27], [3, 3, 25, 25], [3, 4, 21, 1], [3, 5, 7, 23], [3, 6, 14, 22], [3, 7, 1, 21], [3, 8, 4, 1], [3, 9, 1, 1], [3, 10, 7, 1], [3, 11, 1, 10], [3, 12, 7, 11], [3, 19, 4, 9], [3, 20, 25, 5], [3, 21, 14, 1], [4, 3, 21, 5], [4, 4, 24, 1], [4, 6, 21, 8], [4, 7, 10, 21], [4, 8, 17, 1], [4, 14, 21, 14], [4, 19, 17, 9], [4, 20, 10, 1]];OPT
21;95.197;[[28, 28], [3, 3, 26, 16], [3, 4, 4, 25], [3, 5, 1, 24], [3, 6, 22, 1], [3, 7, 10, 22], [3, 8, 4, 1], [3, 9, 22, 7], [3, 10, 26, 19], [3, 11, 7, 18], [3, 16, 4, 9], [3, 17, 7, 1], [3, 21, 10, 1], [3, 23, 1, 1], [4, 3, 25, 13], [4, 4, 25, 9], [4, 5, 13, 24], [4, 8, 25, 1], [4, 13, 17, 16], [4, 23, 13, 1], [5, 6, 17, 10], [5, 9, 17, 1], [5, 13, 21, 16]];OPT
22;266.674;[[29, 29], [3, 3, 23, 1], [3, 4, 16, 19], [3, 5, 23, 14], [3, 6, 10, 1], [3, 7, 16, 23], [3, 8, 10, 7], [3, 9, 13, 21], [3, 10, 23, 4], [3, 11, 19, 19], [3, 15, 10, 15], [3, 18, 16, 1], [3, 20, 13, 1], [4, 3, 26, 20], [4, 4, 26, 1], [4, 5, 22, 19], [4, 6, 22, 24], [4, 7, 26, 23], [4, 9, 1, 21], [4, 15, 26, 5], [4, 18, 19, 1], [4, 20, 1, 1], [5, 4, 5, 26], [5, 8, 5, 18], [5, 17, 5, 1]];OPT
23;68.572;[[30, 30], [3, 3, 28, 1], [3, 4, 21, 20], [3, 5, 4, 26], [3, 6, 7, 25], [3, 7, 21, 24], [3, 8, 28, 4], [3, 9, 28, 12], [3, 10, 28, 21], [3, 11, 7, 14], [3, 13, 7, 1], [3, 14, 1, 1], [3, 16, 1, 15], [3, 19, 21, 1], [3, 25, 4, 1], [4, 3, 24, 1], [4, 4, 24, 4], [4, 6, 24, 8], [4, 8, 24, 14], [4, 9, 24, 22], [11, 30, 10, 1]];OPT
24;67.618;[[31, 31], [3, 3, 29, 29], [3, 4, 29, 25], [3, 5, 26, 9], [3, 6, 4, 14], [3, 7, 26, 14], [3, 8, 26, 1], [3, 9, 1, 23], [3, 10, 29, 1], [3, 11, 26, 21], [3, 12, 4, 20], [3, 13, 4, 1], [3, 14, 29, 11], [3, 22, 1, 1], [3, 31, 7, 1], [4, 3, 22, 29], [4, 7, 22, 14], [4, 8, 22, 21], [4, 13, 22, 1], [12, 31, 10, 1]];OPT
