Instance;Time;Solution
1;0.12742161750793457;[[8, 8], [3, 3, 6, 6], [3, 5, 6, 1], [5, 3, 1, 6], [5, 5, 1, 1]]
2;0.22813725471496582;[[9, 9], [3, 3, 1, 7], [3, 4, 7, 6], [3, 5, 7, 1], [3, 6, 1, 1], [3, 9, 4, 1]]
3;0.42910051345825195;[[10, 10], [3, 3, 1, 8], [3, 4, 8, 1], [3, 6, 8, 5], [3, 7, 1, 1], [4, 4, 4, 7], [4, 6, 4, 1]]
4;0.4228384494781494;[[11, 11], [3, 3, 1, 1], [3, 4, 1, 8], [3, 5, 9, 7], [3, 6, 9, 1], [5, 3, 4, 1], [5, 4, 4, 8], [8, 4, 1, 4]]
5;0.6105043888092041;[[12, 12], [3, 3, 7, 7], [3, 4, 10, 1], [3, 5, 1, 1], [3, 6, 7, 1], [3, 7, 1, 6], [3, 8, 10, 5], [3, 9, 4, 1], [6, 3, 4, 10]]
6;0.9493141174316406;[[13, 13], [3, 3, 8, 1], [3, 4, 8, 10], [3, 5, 1, 9], [3, 6, 11, 1], [3, 7, 11, 7], [3, 8, 1, 1], [4, 3, 4, 1], [4, 4, 4, 10], [7, 6, 4, 4]]
7;0.8853137493133545;[[14, 14], [3, 3, 1, 1], [3, 4, 1, 4], [3, 5, 12, 10], [3, 6, 9, 1], [3, 7, 1, 8], [3, 8, 9, 7], [3, 9, 12, 1], [5, 4, 4, 11], [5, 10, 4, 1]]
8;0.5624523162841797;[[15, 15], [3, 3, 4, 13], [3, 4, 7, 9], [3, 5, 10, 8], [3, 6, 13, 10], [3, 7, 10, 1], [3, 8, 7, 1], [3, 9, 13, 1], [3, 12, 4, 1], [3, 15, 1, 1], [6, 3, 7, 13]]
9;1.1763052940368652;[[16, 16], [3, 3, 11, 1], [3, 4, 8, 1], [3, 5, 11, 4], [3, 6, 14, 11], [3, 7, 1, 10], [3, 8, 11, 9], [3, 10, 14, 1], [3, 12, 8, 5], [4, 7, 4, 10], [7, 9, 1, 1]]
10;1.6671090126037598;[[17, 17], [3, 3, 15, 6], [3, 4, 1, 1], [3, 5, 15, 1], [3, 6, 1, 5], [3, 7, 1, 11], [3, 8, 4, 1], [3, 9, 4, 9], [4, 3, 7, 15], [4, 8, 11, 1], [4, 14, 7, 1], [7, 3, 11, 15], [7, 6, 11, 9]]
11;3.9043800830841064;[[18, 18], [3, 3, 11, 12], [3, 4, 7, 15], [3, 5, 1, 1], [3, 6, 1, 6], [3, 7, 1, 12], [3, 8, 4, 1], [3, 10, 4, 9], [3, 11, 7, 1], [4, 3, 7, 12], [4, 4, 10, 15], [4, 5, 10, 1], [4, 6, 10, 6], [5, 3, 14, 6], [5, 4, 14, 9], [5, 5, 14, 1], [5, 6, 14, 13]]
12;2.3322246074676514;[[19, 19], [3, 3, 4, 6], [3, 4, 17, 1], [3, 5, 4, 1], [3, 6, 14, 14], [3, 7, 17, 5], [3, 8, 17, 12], [3, 9, 1, 11], [3, 10, 1, 1], [3, 11, 4, 9], [3, 13, 14, 1], [3, 19, 7, 1], [4, 5, 10, 15], [4, 6, 10, 1], [4, 8, 10, 7]]
13;2.281576633453369;[[20, 20], [3, 3, 1, 18], [3, 4, 12, 17], [3, 5, 18, 1], [3, 6, 12, 11], [3, 7, 18, 14], [3, 8, 18, 6], [3, 9, 15, 1], [3, 10, 12, 1], [3, 11, 15, 10], [3, 17, 1, 1], [4, 3, 8, 18], [4, 9, 4, 12], [4, 11, 4, 1], [4, 17, 8, 1]]
14;2.5574164390563965;[[21, 21], [3, 3, 13, 19], [3, 4, 19, 18], [3, 5, 16, 17], [3, 6, 16, 11], [3, 7, 5, 15], [3, 8, 19, 1], [3, 9, 19, 9], [3, 10, 16, 1], [3, 14, 5, 1], [3, 18, 13, 1], [4, 4, 1, 1], [4, 6, 1, 16], [4, 11, 1, 5], [5, 6, 8, 16], [5, 15, 8, 1]]
15;3.821768283843994;[[22, 22], [3, 3, 4, 14], [3, 4, 17, 1], [3, 5, 1, 18], [3, 6, 4, 17], [3, 7, 17, 16], [3, 8, 14, 1], [3, 9, 4, 5], [3, 10, 20, 1], [3, 11, 17, 5], [3, 12, 20, 11], [3, 13, 1, 5], [3, 14, 14, 9], [3, 22, 7, 1], [4, 3, 10, 20], [4, 19, 10, 1], [6, 4, 1, 1]]
16;4.855831623077393;[[23, 23], [3, 3, 21, 9], [3, 4, 1, 1], [3, 5, 21, 19], [3, 6, 8, 1], [3, 7, 21, 12], [3, 8, 21, 1], [3, 9, 1, 15], [3, 10, 1, 5], [3, 11, 14, 13], [3, 12, 14, 1], [3, 14, 8, 7], [3, 20, 11, 1], [4, 3, 17, 17], [4, 4, 17, 20], [4, 6, 17, 1], [4, 10, 17, 7], [4, 11, 4, 13], [4, 12, 4, 1], [6, 3, 8, 21]]
17;3.9528238773345947;[[24, 24], [3, 3, 4, 22], [3, 4, 1, 21], [3, 5, 22, 11], [3, 6, 7, 1], [3, 7, 4, 15], [3, 8, 1, 13], [3, 9, 22, 16], [3, 10, 22, 1], [3, 12, 1, 1], [3, 14, 4, 1], [3, 18, 7, 7], [3, 24, 19, 1], [4, 3, 15, 18], [4, 4, 15, 21], [4, 5, 15, 13], [4, 12, 15, 1], [5, 8, 10, 17], [5, 16, 10, 1]]
