Instance;Time;Solution
1;0.1705760955810547;[[8, 8], [3, 3, 6, 6], [3, 5, 6, 1], [5, 3, 1, 6], [5, 5, 1, 1]]
2;0.07837104797363281;[[9, 9], [3, 3, 7, 7], [3, 4, 1, 6], [3, 5, 1, 1], [3, 6, 7, 1], [3, 9, 4, 1]]
3;0.1085963249206543;[[10, 10], [3, 3, 1, 1], [3, 4, 4, 7], [3, 6, 8, 1], [3, 7, 1, 4], [4, 4, 7, 7], [4, 6, 4, 1]]
4;0.19163107872009277;[[11, 11], [3, 3, 1, 1], [3, 4, 6, 8], [3, 5, 9, 7], [3, 6, 9, 1], [5, 3, 4, 1], [5, 4, 1, 8], [8, 4, 1, 4]]
5;0.2318580150604248;[[12, 12], [3, 3, 7, 7], [3, 4, 10, 1], [3, 5, 1, 8], [3, 6, 7, 1], [3, 7, 1, 1], [3, 8, 10, 5], [3, 9, 4, 1], [6, 3, 4, 10]]
6;0.23807406425476074;[[13, 13], [3, 3, 7, 11], [3, 4, 11, 7], [3, 5, 1, 1], [3, 6, 11, 1], [3, 7, 4, 7], [3, 8, 1, 6], [4, 3, 10, 11], [4, 4, 7, 7], [7, 6, 4, 1]]
7;0.2578577995300293;[[14, 14], [3, 3, 9, 5], [3, 4, 9, 1], [3, 5, 12, 1], [3, 6, 1, 1], [3, 7, 9, 8], [3, 8, 1, 7], [3, 9, 12, 6], [5, 4, 4, 11], [5, 10, 4, 1]]
8;0.30327606201171875;[[15, 15], [3, 3, 10, 1], [3, 4, 1, 12], [3, 5, 10, 4], [3, 6, 13, 10], [3, 7, 10, 9], [3, 8, 1, 4], [3, 9, 13, 1], [3, 12, 4, 4], [3, 15, 7, 1], [6, 3, 1, 1]]
9;0.3447692394256592;[[16, 16], [3, 3, 8, 1], [3, 4, 11, 13], [3, 5, 8, 4], [3, 6, 14, 1], [3, 7, 5, 10], [3, 8, 8, 9], [3, 10, 14, 7], [3, 12, 11, 1], [4, 7, 1, 10], [7, 9, 1, 1]]
10;0.48972010612487793;[[17, 17], [3, 3, 1, 1], [3, 4, 15, 1], [3, 5, 1, 4], [3, 6, 4, 9], [3, 7, 15, 5], [3, 8, 4, 1], [3, 9, 1, 9], [4, 3, 11, 9], [4, 8, 11, 1], [4, 14, 7, 1], [7, 3, 4, 15], [7, 6, 11, 12]]
11;1.635922908782959;[[18, 18], [3, 3, 16, 1], [3, 4, 16, 4], [3, 5, 16, 8], [3, 6, 16, 13], [3, 7, 8, 12], [3, 8, 5, 1], [3, 10, 5, 9], [3, 11, 8, 1], [4, 3, 1, 16], [4, 4, 1, 1], [4, 5, 1, 5], [4, 6, 1, 10], [5, 3, 11, 16], [5, 4, 11, 1], [5, 5, 11, 11], [5, 6, 11, 5]]
12;0.9372086524963379;[[19, 19], [3, 3, 4, 1], [3, 4, 10, 1], [3, 5, 4, 4], [3, 6, 17, 14], [3, 7, 10, 5], [3, 8, 14, 12], [3, 9, 1, 11], [3, 10, 1, 1], [3, 11, 4, 9], [3, 13, 17, 1], [3, 19, 7, 1], [4, 5, 13, 7], [4, 6, 13, 1], [4, 8, 10, 12]]
