Instance;Time;Solution
1;0.053095102310180664;[[8, 8], [3, 3, 6, 6], [3, 5, 6, 1], [5, 3, 1, 6], [5, 5, 1, 1]]
2;0.0847933292388916;[[9, 9], [3, 3, 4, 7], [3, 4, 7, 6], [3, 5, 7, 1], [3, 6, 4, 1], [3, 9, 1, 1]]
3;0.12382364273071289;[[10, 10], [3, 3, 1, 8], [3, 4, 8, 7], [3, 6, 8, 1], [3, 7, 1, 1], [4, 4, 4, 7], [4, 6, 4, 1]]
4;0.37407588958740234;[[11, 11], [3, 3, 6, 1], [3, 4, 1, 8], [3, 5, 9, 7], [3, 6, 9, 1], [5, 3, 1, 1], [5, 4, 4, 8], [8, 4, 1, 4]]
5;0.46346354484558105;[[12, 12], [3, 3, 7, 7], [3, 4, 10, 1], [3, 5, 1, 1], [3, 6, 7, 1], [3, 7, 1, 6], [3, 8, 10, 5], [3, 9, 4, 1], [6, 3, 4, 10]]
6;0.4939603805541992;[[13, 13], [3, 3, 8, 1], [3, 4, 8, 10], [3, 5, 1, 1], [3, 6, 11, 8], [3, 7, 11, 1], [3, 8, 1, 6], [4, 3, 4, 1], [4, 4, 4, 10], [7, 6, 4, 4]]
7;0.4640974998474121;[[14, 14], [3, 3, 9, 5], [3, 4, 9, 1], [3, 5, 12, 1], [3, 6, 1, 1], [3, 7, 9, 8], [3, 8, 1, 7], [3, 9, 12, 6], [5, 4, 4, 11], [5, 10, 4, 1]]
8;0.5310649871826172;[[15, 15], [3, 3, 13, 13], [3, 4, 13, 9], [3, 5, 1, 8], [3, 6, 10, 1], [3, 7, 1, 1], [3, 8, 13, 1], [3, 9, 10, 7], [3, 12, 4, 1], [3, 15, 7, 1], [6, 3, 1, 13]]
9;0.5403172969818115;[[16, 16], [3, 3, 11, 1], [3, 4, 14, 1], [3, 5, 11, 4], [3, 6, 1, 11], [3, 7, 8, 10], [3, 8, 11, 9], [3, 10, 1, 1], [3, 12, 14, 5], [4, 7, 4, 10], [7, 9, 4, 1]]
10;0.3828256130218506;[[17, 17], [3, 3, 15, 4], [3, 4, 1, 8], [3, 5, 15, 7], [3, 6, 1, 12], [3, 7, 1, 1], [3, 8, 4, 1], [3, 9, 4, 9], [4, 3, 7, 15], [4, 8, 11, 4], [4, 14, 7, 1], [7, 3, 11, 1], [7, 6, 11, 12]]
11;2.2735798358917236;[[18, 18], [3, 3, 1, 6], [3, 4, 1, 9], [3, 5, 1, 1], [3, 6, 1, 13], [3, 7, 11, 12], [3, 8, 4, 11], [3, 10, 4, 1], [3, 11, 7, 1], [4, 3, 7, 16], [4, 4, 7, 12], [4, 5, 10, 7], [4, 6, 10, 1], [5, 3, 14, 10], [5, 4, 14, 6], [5, 5, 14, 1], [5, 6, 14, 13]]
12;1.6518995761871338;[[19, 19], [3, 3, 17, 1], [3, 4, 17, 11], [3, 5, 17, 15], [3, 6, 14, 14], [3, 7, 17, 4], [3, 8, 1, 12], [3, 9, 4, 11], [3, 10, 4, 1], [3, 11, 1, 1], [3, 13, 10, 1], [3, 19, 7, 1], [4, 5, 13, 1], [4, 6, 10, 14], [4, 8, 13, 6]]
13;1.5095703601837158;[[20, 20], [3, 3, 15, 1], [3, 4, 18, 11], [3, 5, 12, 9], [3, 6, 18, 15], [3, 7, 12, 14], [3, 8, 12, 1], [3, 9, 1, 12], [3, 10, 18, 1], [3, 11, 1, 1], [3, 17, 15, 4], [4, 3, 8, 18], [4, 9, 4, 1], [4, 11, 4, 10], [4, 17, 8, 1]]
14;1.7630205154418945;[[21, 21], [3, 3, 16, 1], [3, 4, 13, 9], [3, 5, 5, 17], [3, 6, 5, 11], [3, 7, 19, 1], [3, 8, 13, 1], [3, 9, 13, 13], [3, 10, 5, 1], [3, 14, 19, 8], [3, 18, 16, 4], [4, 4, 1, 7], [4, 6, 1, 1], [4, 11, 1, 11], [5, 6, 8, 16], [5, 15, 8, 1]]
15;1.3974580764770508;[[22, 22], [3, 3, 1, 20], [3, 4, 7, 15], [3, 5, 20, 9], [3, 6, 1, 1], [3, 7, 4, 12], [3, 8, 20, 1], [3, 9, 20, 14], [3, 10, 17, 1], [3, 11, 4, 1], [3, 12, 17, 11], [3, 13, 1, 7], [3, 14, 7, 1], [3, 22, 14, 1], [4, 3, 10, 20], [4, 19, 10, 1], [6, 4, 4, 19]]
16;4.405762195587158;[[23, 23], [3, 3, 15, 21], [3, 4, 18, 1], [3, 5, 8, 19], [3, 6, 21, 1], [3, 7, 18, 5], [3, 8, 8, 11], [3, 9, 18, 12], [3, 10, 8, 1], [3, 11, 5, 13], [3, 12, 5, 1], [3, 14, 21, 7], [3, 20, 11, 1], [4, 3, 11, 21], [4, 4, 14, 17], [4, 6, 14, 1], [4, 10, 14, 7], [4, 11, 1, 1], [4, 12, 1, 12], [6, 3, 18, 21]]
17;2.8887758255004883;[[24, 24], [3, 3, 18, 13], [3, 4, 15, 6], [3, 5, 15, 1], [3, 6, 4, 1], [3, 7, 15, 10], [3, 8, 10, 17], [3, 9, 18, 16], [3, 10, 1, 15], [3, 12, 18, 1], [3, 14, 1, 1], [3, 18, 4, 7], [3, 24, 7, 1], [4, 3, 21, 1], [4, 4, 21, 21], [4, 5, 21, 16], [4, 12, 21, 4], [5, 8, 13, 17], [5, 16, 10, 1]]
18;2.9306564331054688;[[25, 25], [3, 3, 20, 13], [3, 4, 23, 1], [3, 5, 23, 5], [3, 6, 5, 1], [3, 7, 17, 19], [3, 8, 14, 1], [3, 9, 20, 1], [3, 10, 20, 16], [3, 11, 8, 15], [3, 13, 23, 13], [3, 14, 8, 1], [3, 17, 14, 9], [3, 18, 17, 1], [3, 19, 5, 7], [3, 25, 11, 1], [4, 5, 1, 8], [4, 7, 1, 1], [4, 13, 1, 13], [6, 3, 20, 10]]
19;6.292314291000366;[[26, 26], [3, 3, 1, 24], [3, 4, 17, 7], [3, 5, 1, 19], [3, 6, 17, 1], [3, 7, 4, 20], [3, 8, 1, 11], [3, 9, 11, 18], [3, 10, 1, 1], [3, 11, 14, 16], [3, 12, 20, 15], [3, 14, 20, 1], [3, 15, 14, 1], [3, 16, 17, 11], [3, 17, 11, 1], [3, 19, 4, 1], [4, 3, 23, 24], [4, 4, 23, 15], [4, 5, 23, 19], [4, 7, 7, 20], [4, 8, 7, 12], [4, 11, 7, 1], [4, 14, 23, 1]]
20;3.4220516681671143;[[27, 27], [3, 3, 1, 6], [3, 4, 4, 13], [3, 5, 1, 1], [3, 6, 7, 22], [3, 7, 17, 1], [3, 8, 14, 20], [3, 9, 14, 1], [3, 10, 14, 10], [3, 11, 4, 17], [3, 12, 4, 1], [3, 19, 1, 9], [3, 20, 17, 8], [3, 21, 7, 1], [4, 3, 20, 1], [4, 4, 20, 18], [4, 6, 20, 22], [4, 7, 10, 21], [4, 8, 24, 20], [4, 14, 20, 4], [4, 19, 24, 1], [4, 20, 10, 1]]
21;4.70499062538147;[[28, 28], [3, 3, 4, 1], [3, 4, 7, 9], [3, 5, 14, 24], [3, 6, 4, 4], [3, 7, 17, 1], [3, 8, 7, 1], [3, 9, 4, 10], [3, 10, 4, 19], [3, 11, 1, 18], [3, 16, 7, 13], [3, 17, 1, 1], [3, 21, 17, 8], [3, 23, 10, 1], [4, 3, 25, 26], [4, 4, 25, 14], [4, 5, 10, 24], [4, 8, 25, 18], [4, 13, 25, 1], [4, 23, 13, 1], [5, 6, 20, 23], [5, 9, 20, 14], [5, 13, 20, 1]]
