Instance;Time;Solution
1;0.15439844131469727;[[8, 8], [3, 3, 1, 1], [5, 3, 4, 6], [3, 5, 1, 4], [5, 5, 4, 1]]
2;0.2991671562194824;[[9, 9], [3, 3, 1, 4], [4, 3, 6, 1], [5, 3, 1, 1], [6, 3, 4, 4], [9, 3, 1, 7]]
3;1.0268914699554443;[[10, 10], [3, 3, 5, 1], [4, 3, 1, 1], [3, 6, 8, 1], [7, 3, 1, 4], [4, 4, 1, 7], [6, 4, 5, 7]]
4;0.9502885341644287;[[11, 11], [3, 3, 6, 1], [4, 3, 1, 4], [5, 3, 1, 1], [3, 6, 9, 6], [3, 5, 9, 1], [4, 5, 1, 7], [4, 8, 5, 4]]
5;1.3492212295532227;[[12, 12], [3, 3, 4, 7], [3, 4, 7, 1], [3, 5, 10, 8], [3, 6, 4, 1], [3, 7, 10, 1], [3, 8, 7, 5], [3, 9, 1, 1], [6, 3, 1, 10]]
6;2.646559953689575;[[13, 13], [3, 3, 11, 1], [4, 3, 4, 1], [3, 5, 1, 9], [3, 6, 4, 8], [3, 7, 8, 1], [3, 8, 1, 1], [3, 4, 11, 4], [4, 4, 4, 4], [7, 6, 7, 8]]
7;3.731043815612793;[[14, 14], [3, 3, 12, 12], [3, 4, 12, 8], [3, 5, 9, 10], [3, 6, 6, 9], [3, 7, 12, 1], [3, 8, 6, 1], [3, 9, 9, 1], [5, 4, 1, 1], [5, 10, 1, 5]]
8;1.0892362594604492;[[15, 15], [3, 3, 7, 13], [3, 4, 13, 12], [3, 5, 13, 7], [3, 6, 13, 1], [3, 7, 1, 9], [3, 8, 1, 1], [3, 9, 10, 7], [3, 12, 7, 1], [3, 15, 4, 1], [3, 6, 10, 1]]
9;3.079354763031006;[[16, 16], [3, 3, 8, 1], [3, 4, 14, 1], [5, 3, 1, 14], [3, 6, 11, 1], [3, 7, 11, 7], [8, 3, 6, 14], [3, 10, 8, 4], [3, 12, 14, 5], [7, 4, 1, 10], [7, 9, 1, 1]]
10;4.568491458892822;[[17, 17], [3, 3, 8, 12], [3, 4, 1, 14], [3, 5, 15, 7], [3, 6, 15, 1], [7, 3, 4, 15], [3, 8, 8, 1], [3, 9, 1, 5], [3, 4, 1, 1], [4, 8, 11, 1], [4, 14, 4, 1], [7, 3, 8, 9], [7, 6, 11, 12]]
11;19.849773406982422;[[18, 18], [3, 3, 1, 5], [3, 4, 13, 12], [3, 5, 16, 1], [3, 6, 16, 6], [3, 7, 16, 12], [3, 8, 1, 8], [10, 3, 6, 16], [3, 11, 13, 1], [3, 4, 10, 1], [4, 4, 6, 1], [4, 5, 9, 5], [4, 6, 9, 10], [5, 3, 1, 16], [5, 4, 1, 1], [5, 5, 4, 5], [5, 6, 4, 10]]
12;6.763068914413452;[[19, 19], [3, 3, 10, 7], [4, 3, 9, 1], [3, 5, 1, 15], [3, 6, 4, 7], [3, 7, 4, 13], [8, 3, 1, 1], [9, 3, 4, 4], [3, 10, 10, 10], [3, 11, 1, 4], [3, 13, 7, 7], [3, 19, 13, 1], [4, 5, 16, 7], [4, 6, 16, 1], [4, 8, 16, 12]]
13;7.00311017036438;[[20, 20], [3, 3, 7, 11], [4, 3, 17, 14], [3, 5, 1, 12], [3, 6, 4, 11], [3, 7, 1, 5], [8, 3, 13, 5], [9, 3, 4, 5], [10, 3, 7, 14], [11, 3, 10, 11], [17, 3, 4, 8], [3, 4, 18, 1], [9, 4, 12, 17], [11, 4, 1, 17], [17, 4, 1, 1]]
14;8.527445077896118;[[21, 21], [3, 3, 19, 19], [4, 3, 15, 19], [3, 5, 19, 1], [3, 6, 4, 9], [3, 7, 1, 1], [8, 3, 4, 15], [3, 9, 12, 9], [3, 10, 19, 9], [3, 14, 1, 8], [18, 3, 4, 6], [4, 4, 15, 9], [4, 6, 15, 13], [11, 4, 4, 18], [5, 6, 7, 9], [15, 5, 4, 1]]
15;11.03765082359314;[[22, 22], [3, 3, 1, 1], [3, 4, 14, 19], [3, 5, 11, 5], [3, 6, 20, 17], [3, 7, 1, 13], [3, 8, 8, 1], [3, 9, 1, 4], [3, 10, 11, 10], [3, 11, 8, 9], [3, 12, 20, 1], [13, 3, 1, 20], [3, 14, 14, 5], [3, 22, 17, 1], [3, 4, 20, 13], [4, 19, 4, 1], [6, 4, 11, 1]]
