Instance;Time;Solution
1;0.17240405082702637;[[8, 8], [3, 3, 1, 1], [5, 3, 4, 6], [3, 5, 1, 4], [5, 5, 4, 1]]
2;0.3226287364959717;[[9, 9], [3, 3, 1, 4], [4, 3, 6, 1], [5, 3, 1, 1], [6, 3, 4, 4], [9, 3, 1, 7]]
3;0.3986053466796875;[[10, 10], [3, 3, 8, 5], [3, 4, 8, 1], [6, 3, 5, 8], [3, 7, 5, 1], [4, 4, 1, 7], [4, 6, 1, 1]]
4;1.102799892425537;[[11, 11], [3, 3, 9, 1], [3, 4, 9, 8], [3, 5, 1, 7], [3, 6, 1, 1], [5, 3, 4, 1], [5, 4, 4, 8], [8, 4, 4, 4]]
5;1.9339585304260254;[[12, 12], [3, 3, 4, 1], [3, 4, 7, 1], [3, 5, 1, 1], [3, 6, 10, 1], [3, 7, 1, 6], [3, 8, 7, 5], [3, 9, 4, 4], [3, 6, 10, 7]]
6;1.7704811096191406;[[13, 13], [3, 3, 11, 1], [3, 4, 11, 4], [3, 5, 1, 9], [3, 6, 4, 8], [7, 3, 4, 5], [3, 8, 1, 1], [3, 4, 4, 1], [4, 4, 7, 1], [7, 6, 7, 8]]
7;1.9258317947387695;[[14, 14], [3, 3, 6, 1], [3, 4, 6, 4], [3, 5, 9, 1], [3, 6, 12, 1], [3, 7, 6, 8], [3, 8, 12, 7], [3, 9, 9, 6], [5, 4, 1, 1], [5, 10, 1, 5]]
8;2.256683349609375;[[15, 15], [3, 3, 7, 4], [3, 4, 4, 12], [3, 5, 1, 4], [3, 6, 7, 7], [3, 7, 1, 9], [3, 8, 4, 4], [9, 3, 1, 1], [3, 12, 10, 1], [3, 15, 13, 1], [6, 3, 7, 13]]
9;2.287346839904785;[[16, 16], [3, 3, 1, 11], [3, 4, 14, 1], [5, 3, 9, 1], [3, 6, 11, 11], [7, 3, 4, 11], [8, 3, 1, 1], [10, 3, 1, 14], [3, 12, 14, 5], [4, 7, 1, 4], [9, 7, 5, 4]]
10;2.8078908920288086;[[17, 17], [3, 3, 15, 6], [4, 3, 1, 15], [3, 5, 15, 1], [6, 3, 9, 8], [3, 7, 9, 11], [8, 3, 1, 1], [3, 9, 15, 9], [4, 3, 1, 4], [4, 8, 1, 7], [4, 14, 5, 4], [3, 7, 12, 11], [6, 7, 9, 1]]
11;9.791646242141724;[[18, 18], [3, 3, 8, 1], [3, 4, 1, 1], [5, 3, 8, 16], [6, 3, 13, 16], [7, 3, 1, 5], [8, 3, 11, 1], [10, 3, 9, 8], [3, 11, 1, 8], [4, 3, 4, 16], [4, 4, 4, 1], [4, 5, 10, 11], [6, 4, 13, 4], [5, 3, 4, 8], [5, 4, 8, 4], [5, 5, 14, 11], [6, 5, 4, 11]]
12;10.277536392211914;[[19, 19], [3, 3, 4, 1], [3, 4, 7, 1], [3, 5, 1, 1], [6, 3, 1, 17], [3, 7, 7, 13], [3, 8, 7, 5], [3, 9, 10, 1], [3, 10, 10, 10], [3, 11, 1, 6], [3, 13, 4, 4], [3, 19, 13, 1], [4, 5, 16, 1], [4, 6, 16, 6], [4, 8, 16, 12]]
13;7.506187915802002;[[20, 20], [3, 3, 12, 15], [4, 3, 1, 5], [5, 3, 5, 5], [3, 6, 15, 12], [7, 3, 10, 5], [8, 3, 4, 15], [3, 9, 1, 12], [3, 10, 18, 8], [11, 3, 4, 12], [17, 3, 4, 18], [4, 3, 17, 5], [9, 4, 12, 1], [11, 4, 1, 1], [17, 4, 1, 8]]
