Instance;Time;Solution
1;0.2939772605895996;[[8, 8], [3, 3, 6, 6], [5, 3, 1, 6], [3, 5, 6, 1], [5, 5, 1, 1]]
2;0.5246841907501221;[[9, 9], [3, 3, 7, 7], [3, 4, 1, 1], [3, 5, 1, 5], [3, 6, 7, 1], [3, 9, 4, 1]]
3;1.3417723178863525;[[10, 10], [3, 3, 1, 8], [3, 4, 8, 7], [3, 6, 8, 1], [3, 7, 1, 1], [4, 4, 4, 7], [4, 6, 4, 1]]
4;1.4289238452911377;[[11, 11], [3, 3, 1, 1], [4, 3, 5, 4], [3, 5, 9, 1], [3, 6, 9, 6], [5, 3, 4, 1], [4, 5, 5, 7], [4, 8, 1, 4]]
5;2.017012357711792;[[12, 12], [3, 3, 1, 1], [4, 3, 1, 4], [5, 3, 8, 7], [6, 3, 1, 10], [7, 3, 1, 7], [8, 3, 5, 4], [9, 3, 4, 1], [6, 3, 7, 10]]
6;3.3701517581939697;[[13, 13], [3, 3, 7, 1], [4, 3, 10, 8], [5, 3, 1, 11], [6, 3, 1, 1], [3, 7, 1, 4], [8, 3, 6, 11], [4, 3, 10, 5], [4, 4, 10, 1], [6, 7, 4, 4]]
7;3.2804853916168213;[[14, 14], [3, 3, 1, 8], [3, 4, 6, 11], [3, 5, 9, 1], [3, 6, 12, 9], [3, 7, 1, 1], [3, 8, 12, 1], [3, 9, 9, 6], [5, 4, 1, 11], [5, 10, 4, 1]]
8;2.0888495445251465;[[15, 15], [3, 3, 1, 4], [3, 4, 10, 12], [3, 5, 4, 11], [3, 6, 7, 10], [3, 7, 4, 4], [3, 8, 10, 4], [3, 9, 1, 7], [3, 12, 13, 4], [15, 3, 1, 1], [3, 6, 7, 4]]
9;4.221257925033569;[[16, 16], [3, 3, 8, 14], [3, 4, 11, 13], [3, 5, 8, 1], [3, 6, 14, 1], [7, 3, 1, 1], [3, 8, 8, 6], [3, 10, 14, 7], [3, 12, 11, 1], [7, 4, 1, 13], [7, 9, 1, 4]]
10;6.00217342376709;[[17, 17], [3, 3, 1, 1], [3, 4, 1, 11], [3, 5, 8, 13], [3, 6, 8, 7], [3, 7, 1, 4], [3, 8, 15, 1], [3, 9, 15, 9], [4, 3, 11, 7], [4, 8, 11, 10], [4, 14, 4, 1], [7, 3, 1, 15], [7, 6, 8, 1]]
11;32.71006631851196;[[18, 18], [3, 3, 13, 1], [3, 4, 9, 15], [3, 5, 9, 10], [3, 6, 9, 4], [7, 3, 6, 1], [3, 8, 16, 1], [3, 10, 12, 9], [3, 11, 6, 4], [3, 4, 1, 15], [4, 4, 15, 15], [5, 4, 4, 15], [4, 6, 15, 9], [5, 3, 1, 12], [4, 5, 12, 4], [5, 5, 1, 1], [5, 6, 1, 6]]
12;9.271920204162598;[[19, 19], [3, 3, 11, 8], [3, 4, 17, 16], [3, 5, 17, 11], [3, 6, 5, 14], [3, 7, 11, 1], [3, 8, 14, 12], [3, 9, 11, 11], [3, 10, 17, 1], [3, 11, 14, 1], [3, 13, 5, 1], [3, 19, 8, 1], [4, 5, 1, 1], [4, 6, 1, 6], [4, 8, 1, 12]]
13;9.086608171463013;[[20, 20], [3, 3, 18, 8], [3, 4, 18, 1], [5, 3, 16, 18], [6, 3, 5, 5], [7, 3, 1, 18], [8, 3, 8, 18], [9, 3, 1, 15], [10, 3, 11, 5], [11, 3, 10, 15], [17, 3, 1, 8], [4, 3, 1, 5], [9, 4, 1, 11], [11, 4, 10, 11], [17, 4, 1, 1]]
14;10.122968196868896;[[21, 21], [3, 3, 16, 6], [4, 3, 1, 9], [5, 3, 11, 19], [6, 3, 16, 19], [7, 3, 1, 1], [8, 3, 8, 1], [3, 9, 19, 6], [10, 3, 1, 15], [14, 3, 5, 9], [18, 3, 1, 12], [4, 4, 7, 18], [6, 4, 1, 18], [11, 4, 11, 15], [6, 5, 16, 1], [15, 5, 1, 4]]
15;12.247124910354614;[[22, 22], [3, 3, 17, 4], [3, 4, 20, 1], [3, 5, 11, 1], [6, 3, 14, 1], [7, 3, 16, 20], [3, 8, 4, 15], [9, 3, 7, 20], [3, 10, 11, 6], [3, 11, 20, 5], [3, 12, 14, 4], [3, 13, 17, 7], [3, 14, 4, 1], [3, 22, 1, 1], [3, 4, 20, 16], [4, 19, 7, 1], [6, 4, 11, 16]]
16;20.68178653717041;[[23, 23], [3, 3, 14, 18], [3, 4, 14, 1], [3, 5, 21, 1], [3, 6, 8, 1], [3, 7, 14, 11], [3, 8, 8, 7], [3, 9, 8, 15], [10, 3, 11, 21], [3, 11, 1, 1], [3, 12, 1, 12], [3, 14, 21, 10], [3, 20, 11, 1], [3, 4, 21, 6], [4, 4, 17, 1], [4, 6, 17, 5], [4, 10, 17, 11], [4, 11, 4, 13], [4, 12, 4, 1], [3, 6, 14, 5]]
17;20.117802381515503;[[24, 24], [3, 3, 15, 4], [4, 3, 18, 22], [3, 5, 9, 1], [6, 3, 12, 1], [3, 7, 9, 6], [3, 8, 9, 17], [3, 9, 12, 16], [3, 10, 22, 1], [3, 12, 12, 4], [3, 14, 22, 11], [3, 18, 15, 7], [3, 24, 6, 1], [3, 4, 9, 13], [4, 4, 18, 1], [4, 5, 18, 5], [4, 12, 18, 10], [5, 8, 1, 17], [5, 16, 1, 1]]
18;46.99473714828491;[[25, 25], [3, 3, 1, 1], [3, 4, 19, 1], [3, 5, 7, 1], [3, 6, 7, 6], [3, 7, 10, 19], [3, 8, 16, 1], [3, 9, 1, 17], [3, 10, 19, 16], [3, 11, 19, 5], [3, 13, 1, 4], [3, 14, 7, 12], [3, 17, 16, 9], [3, 18, 10, 1], [3, 19, 13, 7], [3, 25, 4, 1], [4, 5, 22, 1], [4, 7, 22, 6], [4, 13, 22, 13], [3, 6, 13, 1]]
19;None;[[26, 27], [3, 3, 24, 1], [4, 3, 4, 4], [3, 5, 24, 23], [6, 3, 1, 14], [3, 7, 1, 4], [8, 3, 16, 1], [9, 3, 7, 14], [3, 10, 21, 10], [11, 3, 1, 20], [12, 3, 12, 7], [14, 3, 2, 17], [15, 3, 1, 1], [3, 16, 24, 7], [17, 3, 1, 11], [19, 3, 8, 4], [3, 4, 18, 10], [4, 4, 12, 20], [4, 5, 1, 23], [4, 7, 20, 21], [8, 4, 4, 7], [11, 4, 5, 24], [4, 14, 16, 14]]
20;None;[[27, 28], [3, 3, 5, 15], [4, 3, 5, 1], [3, 5, 11, 24], [3, 6, 15, 19], [3, 7, 2, 10], [3, 8, 8, 21], [3, 9, 22, 16], [10, 3, 8, 15], [11, 3, 4, 18], [3, 12, 1, 17], [19, 3, 9, 1], [20, 3, 5, 12], [3, 21, 25, 4], [4, 3, 11, 21], [4, 4, 14, 25], [6, 4, 22, 25], [4, 7, 1, 1], [4, 8, 4, 21], [4, 14, 18, 15], [19, 4, 5, 8], [20, 4, 5, 4]]
